Input_Name,Selected_Name,Rank,Score,URL,Timestamp
"Benjamin Siksou","Benjamin Siksou",1,1.00,"/artist/3c8a5SxsvbvqUzstEbcgeM","2026-05-05 08:17:54"
"Berry Weight","Berry Weight",1,1.00,"/artist/5I7n9qoy56ibexYfrF9ZEL","2026-05-05 08:18:06"
"Bess Atwell","Bess Atwell",1,1.00,"/artist/6Pim5E5Lm03COsjHj2aEiK","2026-05-05 08:18:18"
"Bibi Tanga & The Selenites","Bibi Tanga & The Selenites",1,1.00,"/artist/1wDClxPQ3dnP5IfginkLma","2026-05-05 08:18:31"
"Billie Marten","Billie Marten",1,1.00,"/artist/02YLJJnWC7YQVixkjEBRn7","2026-05-05 08:18:45"
"Billy Joel","Billy Joel",1,1.00,"/artist/6zFYqv1mOsgBRQbae3JJ9e","2026-05-05 08:18:59"
"Biloba","Biloba",1,1.00,"/artist/1X3IRnPPAu5K9HOzff1Qey","2026-05-05 08:19:12"
"Bisou","Bisou",1,1.00,"/artist/74m2vnYnIGai5x0musAVGn","2026-05-05 08:19:27"
"Black Light Smoke","Black Light Smoke",1,1.00,"/artist/6tBzfm9cIQVj3JFJnF2QTm","2026-05-05 08:19:39"
"Blankass","Blankass",1,1.00,"/artist/1FSEVDIvXWHWPmPeCuka03","2026-05-05 08:19:54"
"Blood Red Sun","Blood Red Sun",1,1.00,"/artist/6CkMMcG6qTvQ8eI9yVjXbF","2026-05-05 08:20:06"
"Bobby Hughes Combination","Bobby Hughes Combination",1,1.00,"/artist/6NAOD3WFsejGYe83g5IID4","2026-05-05 08:20:17"
"Booka Shade","Booka Shade",1,1.00,"/artist/2CKaDZ1Yo8YnWega9IeUzB","2026-05-05 08:20:27"
"Bootstraps","Bootstraps",1,1.00,"/artist/0x5TKpXlF0dsnMNB2xOYXz","2026-05-05 08:20:39"
"Boozoo Bajou","Boozoo Bajou",1,1.00,"/artist/2I36EjIVz3vDfROgj1MfZ3","2026-05-05 08:20:51"
"Boston Symphony Orchestra","Boston Symphony Orchestra",1,1.00,"/artist/0K23lQ2hSQAlxSEeZ05bjI","2026-05-05 08:21:02"
"Boubacar Traoré","Boubacar Traoré",1,1.00,"/artist/63Bilw49Uv4s2wnovytDVU","2026-05-05 08:21:14"
"Bronski Beat","Bronski Beat",1,1.00,"/artist/2wpWOzQE5TpA0dVnh5YD08","2026-05-05 08:21:34"
"Bryan Senti","Bryan Senti",1,1.00,"/artist/4QSmk1Bll3nbQfsjTe7vIR","2026-05-05 08:21:46"
"BRÖ","BRÖ",1,1.00,"/artist/6U2PIOH8ZKgFprcdkIe8J5","2026-05-05 08:21:56"
"C.Y.M.","C.Y.M.",1,1.00,"/artist/2XYuCUX7Ravz8MBo4AkA2G","2026-05-05 08:22:07"
"Caesaria","Caesaria",1,1.00,"/artist/3GWHmhaBl7Lx4hygni7di3","2026-05-05 08:22:17"
"Camera Obscura","Camera Obscura",1,1.00,"/artist/5gInJ5P5gQnOKPM3SUEVFt","2026-05-05 08:22:27"
"Carducci String Quartet","Carducci String Quartet",1,1.00,"/artist/4cKOYjPLQGb79166NxfeyI","2026-05-05 08:22:39"
"CARLA","Carla",1,1.00,"/artist/7dgCfYEmAX7OxaYWgCGxAr","2026-05-05 08:22:49"
"Carla De Coignac","Carla De Coignac",1,1.00,"/artist/0S71ohbhoJii4mG4geSK2B","2026-05-05 08:23:00"
"Carmen Maria Vega","Carmen Maria Vega",1,1.00,"/artist/4BeUJGT638jeAuAvtm51oE","2026-05-05 08:23:12"
"Caroline Rose","Caroline Rose",1,1.00,"/artist/06W84OT2eFUNVwG85UsxJw","2026-05-05 08:23:24"
"Cassandra Jenkins","Cassandra Jenkins",1,1.00,"/artist/1WVGbBnzZ5WLZ2PfesIHik","2026-05-05 08:23:39"
"Catherine Deneuve","Catherine Deneuve",1,1.00,"/artist/16XHvtzF0KN8PSvjkkCpTk","2026-05-05 08:23:53"
"CECI","CECI",5,1.00,"/artist/5EyGexfSUi8oGjOmZSD5HG","2026-05-05 08:24:08"
"CeeLo Green","CeeLo Green",1,1.00,"/artist/5nLYd9ST4Cnwy6NHaCxbj8","2026-05-05 08:24:19"
"Chad Lawson","Chad Lawson",1,1.00,"/artist/72uoxerTvAd7x3cbfYmNc8","2026-05-05 08:24:30"
"Chance Peña","Chance Peña",1,1.00,"/artist/4lhUHpVOXmkEBGGHV71QCh","2026-05-05 08:24:41"
"Charles Bradley","Charles Bradley",1,1.00,"/artist/462T0buQ5ScBUQCRpodDRf","2026-05-05 08:24:54"
"Charles Cariou","Charles Cariou",1,1.00,"/artist/5ZE19URT15M3G8g2SrgRfB","2026-05-05 08:25:08"
