#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Russian Girl","Женя Любич",53,155,"","C'est la vie",2011-12-09,02:26,68,48,74,0,32,0,10,-8,A Minor,4,-,2Fs2EzT6lR7b2OCu0zzjQL,"undefined",8A,FR2X41694431
2,"hotline (edit)","Billie Eilish",75,57,"","hotline (edit)",2023-05-09,01:00,52,25,82,86,30,0,10,-16,A Minor,4,-,0WFryfbNKPXVtVQlz5dZ8H,"undefined",8A,USUM72307244
3,"The Beach (Instrumental Sped Up)","mxpheebz",44,82,"","The Beach (Instrumental Sped Up)",2022-09-15,03:13,61,27,71,94,14,0,0,-17,C♯/D♭ Major,4,-,5QULCdTzKQY46QNNMXMWa6,"undefined",3B,TCAFU2166083
4,"Feels so Good #2","Junior Kimbrough",30,157,"blues, country blues, blues classique","First Recordings",2009-00-00,02:00,53,67,73,2,64,0,10,-6,F Minor,4,-,0IlJfv6ACOvNyjd9vvgKzm,"undefined",4A,USFP70921105
5,"To the Moon","junodream",43,108,"","To the Moon",2018-05-08,02:50,71,35,35,0,85,0,0,-15,E Major,4,-,7KTeCmYOof8NML28Lc9dWo,"undefined",12B,GBKPL1805767
6,"Le retour en bateau","Kid Francescoli",40,108,"","Azuro (Bande originale du film)",2022-03-11,02:44,69,71,0,79,73,0,10,-9,F Major,4,-,5W5yReDkiROArWbkqNHJWC,"undefined",7B,FRU452200004
7,"Note to Self","Mild High Club",48,98,"pop psychédélique","Timeline",2015-09-18,02:20,71,38,41,0,68,0,10,-10,A#/B♭ Minor,4,-,4jByWjGKnLvbd2YZTOcHep,"undefined",3A,US2S71504003
8,"Sister Owls","Monster Rally",54,82,"exotica","Adventures on the Floating Island",2019-09-20,01:53,71,68,65,85,83,0,10,-9,F Minor,4,-,2Sl3u7MP7DA48URZZ39XrK,"undefined",4A,USA2B1902258
9,"Cry for Another","Claude Fontaine",33,90,"","Claude Fontaine",2019-04-26,03:39,85,49,66,9,92,0,0,-9,C Minor,4,-,6bIXC6aTikHzCh2P8wlbcD,"undefined",5A,USD8D1959001
10,"Bamboo and Rocks","Sven Wunder",32,94,"","Wabi Sabi",2020-04-27,02:59,64,54,43,84,78,0,10,-13,C♯/D♭ Major,4,-,7ndM7fNwsl4lMOoqYjknyD,"undefined",3B,SEYJB2000108
11,"Smokeless Fire","Octave Lissner",0,144,"","Octave Lissner",2019-10-08,02:43,74,51,13,18,13,0,10,-12,G Major,4,-,0TCbPtoHm1OLJXevvCqUtZ,"undefined",9B,TCAEG1967008
12,"Duvet","bôa",84,93,"","Twilight",2001-03-21,03:23,58,89,19,0,71,0,0,-9,B Minor,4,-,42qNWdLKCI41S4uzfamhFM,"undefined",10A,USCGJ0659337
13,"The Girls","Albertine Sarges",0,120,"","The Sticky Fingers",2021-01-29,04:19,95,56,22,4,96,0,20,-8,D Major,4,-,7kvcDhQZKlyUeh67hEIc34,"undefined",10B,GBGEY2000094
14,"What Does It Mean To Be Free","Thomas Azier",24,140,"","The Inventory Of Our Desire",2023-02-10,06:56,48,65,20,39,43,0,10,-13,F#/G♭ Minor,4,-,58YJovqkEGgsNzjYjIzWXb,"undefined",11A,NLY9M2200006
15,"Drifting","Frank Popp Ensemble,Lucy Kruger",0,140,"northern soul, ","Shifting",2023-01-27,05:22,45,48,31,2,33,0,0,-9,C Major,4,-,6ettpZedsYYa1kJ7H4QAU4,"undefined",8B,DEUV42200005
16,"Andy Warhol","Dana Gillespie",21,84,"boogie-woogie, boogie, swing","Andy Warhol",2009-00-00,03:04,30,68,20,0,61,0,0,-12,E Minor,4,-,58YnFSfPGDFPmRRCya5IMA,"undefined",9A,GBBLY0901813
17,"Don't Give Up","Foreign Fields",35,114,"","The Beauty of Survival",2020-03-20,03:53,76,39,88,38,74,0,10,-14,D#/E♭ Major,4,-,6rGBWSCtMqurKFEvpa2lW2,"undefined",5B,GB6TW1900154
18,"Petit garçon","Léman",42,161,"chanson, variété française","Petit garçon",2023-03-10,02:19,70,57,47,0,73,0,0,-5,E Minor,4,-,4zZ1GBzdbBDzD5OpAHmSQV,"undefined",9A,FR9W12302806
19,"Tears In The Typing Pool","Broadcast",53,153,"dream pop, shoegaze","Tender Buttons",2005-09-19,02:12,30,15,92,0,39,0,10,-13,A Minor,4,-,2ckhAiLT5eV5blWvyDs8Lh,"undefined",8A,GBBPW0500075
20,"Flowers","Monsterheart",23,130,"","The New",2021-01-01,03:41,49,52,0,42,40,0,10,-9,F Minor,4,-,0AibvwA0uakL79QA8q7EHO,"undefined",4A,QZDA72077044
21,"O.K.","Whatever, Dad",49,131,"","Grade Pending",2015-07-18,01:42,66,13,62,17,24,0,60,-18,G Major,4,-,3079KgxQ0kntfz3qTunWq6,"undefined",9B,USQY51792219
22,"Titanic","Σtella,Redinho",56,96,"","Up and Away",2022-06-17,03:06,76,49,52,34,82,0,10,-6,C Minor,4,-,7lirdOcXuV6nIPH1NTNwW8,"undefined",5A,USSUB2148307
23,"Bel Epoque","Loopa Scava,Cayetano,Pelina",46,113,"nu jazz, ","Up and Down",2008-03-21,01:40,69,29,82,85,29,0,10,-21,C Major,3,-,4BAHBBbMDU91mDDInZuA8O,"undefined",8B,ATE610800056
24,"Mrs Magic","Strawberry Guy",79,133,"bedroom pop","Mrs Magic",2019-07-24,03:28,47,63,16,37,37,0,30,-7,G#/A♭ Major,4,-,0TZejo18HlJ86OrWNsXKnw,"undefined",4B,GBJGV1900102
25,"Plage de la concurrence","Ojard",29,120,"","Euphonie",2017-09-29,02:37,56,33,86,90,27,0,10,-14,G#/A♭ Major,4,-,0v958gFhMcpQLGtgKvbdTa,"undefined",4B,FR9W11718069
26,"CouCou Anne","Musette",1,166,"","Drape Me In Velvet",2012-01-22,04:04,54,65,95,93,75,0,10,-13,F#/G♭ Minor,4,-,12m8sOsy7cZ41gqpX3uO3z,"undefined",11A,SEWQN1100301
27,"Waltzing Back","No Vacation",62,105,"bedroom pop, dream pop","Waltzing Back",2021-07-14,03:12,56,58,0,92,49,0,0,-8,G Minor,4,-,3JcvpTfI64SmXxUl7XUvQI,"undefined",6A,USEZ61916907
28,"Painted Floors","ÄNN",17,110,"","A.M. Forever",2021-05-07,04:24,38,60,45,31,46,0,0,-9,A#/B♭ Major,4,-,6gUAy5qEHUCjZRXXFEb71t,"undefined",6B,ATEU31800100
29,"When Dreams Come True","Baptiste Thiry",18,94,"","Love Marks",2014-01-01,02:08,47,54,94,94,3,0,0,-11,E Minor,3,-,5KifGjrRaMcsMCyZ77KEgw,"undefined",9A,FR6V82519158
30,"Former Self","Nation of Language",30,180,"synthpop","A Way Forward",2021-11-05,05:10,55,44,88,71,52,0,10,-12,G#/A♭ Minor,3,-,572oBgjtrXpdrkXSaSlyvO,"undefined",1A,USLZJ2193701
31,"I Woke Up Today","Port O'Brien",22,134,"","All We Could Do Was Sing",2008-01-01,03:21,57,91,3,0,95,0,20,-5,F Major,4,-,4va645L73FmWWMpMGSHcyw,"undefined",7B,usmsp0800001
32,"Buka","Hania Rani",40,103,"néo-classique","Home",2020-05-29,05:02,60,26,98,94,40,0,10,-20,D Major,3,-,366WRwY3T7CmjQPXFXe2sS,"undefined",10B,GBVTB2037002
33,"Schweden Espresso","Sofie Royer",17,158,"","Harlequin",2022-09-23,04:28,55,38,38,0,60,0,20,-8,F#/G♭ Major,4,-,0LokKpZ75o151vBOJpDS8b,"undefined",2B,US2S72214056
34,"Blue Skies","Les doigts de l'homme",23,127,"jazz français, swing","1910 (Jazz manouche)",2009-00-00,04:40,81,61,93,90,85,0,20,-11,G Major,4,-,04bBCLYG15wZsplk3y8nQI,"undefined",9B,FR80W1000020
35,"Good Thing","Maple Glider",40,112,"indie folk","To Enjoy is the Only Thing",2021-06-25,04:12,70,20,77,0,14,0,10,-12,G#/A♭ Minor,4,-,1avgH7udg2X4mx82V1ChDC,"undefined",1A,AUVWE2000764
36,"Sweet Marie","The Walters",12,204,"","Young Men",2015-12-23,02:17,25,43,91,65,25,0,10,-8,A Major,4,-,7MBSbBrx0TvBYyKEcpGcJb,"undefined",11B,TCACK1592341
37,"Mio","Sofie Royer",30,130,"","Mio",2023-05-10,04:13,70,67,31,1,54,0,10,-9,F Major,4,-,6cl3amT9HIxuSYxNZnPmlY,"undefined",7B,US2S72276010
38,"Youngblood","Jonathan Jeremiah",27,127,"","Horsepower For The Streets (Deluxe Version)",2023-03-31,03:34,65,67,12,0,63,0,0,-8,A#/B♭ Minor,4,-,1dda1Ze6z4IwBgQmZ7duyp,"undefined",3A,DEG442291092
