#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Electric Silence","Glass Museum",24,90,"nu jazz","Electric Silence",2018-03-02,05:47,26,64,10,87,23,0,20,-11,E Minor,4,2025-03-17,6KIX1sesv6tCsdrtXKtd8Q,"undefined",9A,BEC631700066
2,"Come On Let's Go","Broadcast",0,115,"dream pop, shoegaze","The Noise Made By People",2000-03-20,03:17,58,68,0,7,37,0,0,-9,D Major,4,2025-03-17,374buquHBf8KY9edm9SBtG,"undefined",10B,GBBPW9900176
3,"In the Sunshine","Jonathan Bree",0,96,"","After the Curtains Close",2020-07-17,03:48,48,47,1,84,8,0,20,-12,B Minor,4,2025-03-17,3gUwxhp6CXSPhUyV0jFvov,"undefined",10A,NZLC02000005
4,"Summertime","Rosinha De Valencia",35,98,"","Brazilian Beats 2 (Mr. Bongo presents)",2001-02-12,03:01,48,66,84,94,62,0,10,-11,A Minor,4,2025-03-17,7zGnsPlpUwVK053gO1ElXR,"undefined",8A,GBCLQ0700084
5,"Prélude in E Minor, Op. 28 No. 4","Eugen Cicero",31,92,"jazz","Swinging the Classics On MPS",2014-02-21,07:09,56,29,71,84,12,0,10,-13,A Minor,4,2025-03-17,31jsadEgrSLHJMWP5QLab9,"undefined",8A,DEN120406865
6,"Es geht immer um`s Vollenden","Der Nino aus Wien",28,166,"","The Ocelot Show",2008-12-21,05:38,52,33,87,0,56,0,10,-9,A#/B♭ Major,3,2025-03-17,0UCF6JzM4dyfIvSaIrn4Qs,"undefined",6B,ATRA70800046
7,"How Bizarre","OMC",65,125,"","How Bizarre (Deluxe)",1996-00-00,03:45,77,71,25,0,83,0,20,-6,C Major,4,2025-03-17,46q5BtHso0ECuTKeq70ZhW,"undefined",8B,NZPY09500002
8,"Because","Elliott Smith",38,81,"auteurs-compositeurs-interprètes","Figure 8 (Deluxe Edition)",2000-04-18,02:19,36,15,74,0,14,0,0,-15,D Major,4,2025-03-17,0W78mVK0xVPpOD7oh4medH,"undefined",10B,USDW19921002
9,"Paris","Else",58,103,"house française","Paris",2016-04-19,03:29,79,58,2,58,54,0,0,-8,G#/A♭ Minor,4,2025-03-17,2H7F7EfsVhy0jNLsVz8MLH,"undefined",1A,FR7JK1600001
10,"Make Me Down A Pallet On Your Floor","Piers Faccini,Blick Bassy",26,96,"rock roots, gnaoui, ","Mother Time",2017-06-23,04:04,67,22,91,0,66,0,10,-12,C Major,4,2025-03-17,4ybYoM5Q94BQ8sa3JQV5oZ,"undefined",8B,FR9W11503417
11,"Ersatz","Baden Baden,Eric Javelle,Julien Lardé",9,140,"pop française, ","Les vents contraires (Original Motion Picture Soundtrack)",2020-05-01,01:34,65,69,18,94,84,0,0,-11,C♯/D♭ Major,4,2025-03-17,0eaBykK3tV5ZsBXu58Ofzj,"undefined",3B,FR2X42084952
12,"Coup de tête","Bon Entendeur,Pierre Bachelet",46,107,"house française, pop française, variété française, chanson","Aller-retour",2019-12-13,03:53,61,66,9,42,12,0,0,-9,F Major,4,2025-03-17,70BytYu52Hnt0w8GfcOR7b,"undefined",7B,FRZ051900171
13,"Fugue In D Minor","Egg",35,90,"rock progressif, krautrock, art rock","Egg",1970-00-00,02:49,33,47,0,88,38,0,10,-14,D Minor,4,2025-03-17,5Ib4wQ84DGKGyJieNF5FZN,"undefined",7A,DESK91890904
14,"Sweet Like Brandy","Kwamie Liv",0,85,"","Lovers That Come and Go",2018-11-09,04:14,38,40,30,0,19,0,10,-12,F#/G♭ Minor,4,2025-03-17,13BHFlLGK9RS6ua5dKm2w0,"undefined",11A,GBKPL1807991
