#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
29,"Fire (Lastman Theme)","Fred Avril,Philippe Monthaye",21,115,"","Lastman (Bande sonore originale de la série)",2017-06-16,03:31,39,67,0,2,35,0,20,-8,A#/B♭ Minor,4,2021-12-29,4CFPvGgBt837YvAmH4qa9x,"undefined",3A,FR9W11703204
30,"Runaway","The National",0,135,"indie rock","High Violet",2010-05-10,05:33,58,44,87,56,35,0,10,-10,E Major,3,2021-12-29,3S3B21k7IhIk70jmzF7i4F,"undefined",12B,GBAFL1000101
31,"Sous Les Rayons Du Soleil","Sébastien Tellier",0,121,"house française, downtempo","L'Aventura",2014-01-01,03:32,46,77,22,12,74,0,10,-8,F Minor,4,2021-12-29,56F4TJwUWOCJS490yxrG99,"undefined",4A,FRS711400090
32,"Ne rien faire","Pauline Croze",0,88,"jazz français, bossa nova, pop française, chanson","Ne rien faire",2018-02-16,03:23,70,71,36,0,79,0,0,-7,D Major,4,2021-12-29,7GjTQrj4e5WD8kdUos62yn,"undefined",10B,FR0U91701221
33,"Big Brother","The Stephane Wrembel Trio With David Grisman",39,115,"","Gypsy Rumble",2008-11-04,05:08,70,40,91,73,50,0,10,-10,A Minor,4,2021-12-29,5HFwPZS2oAGiyURkMQNvHD,"undefined",8A,USJX90800011
34,"Sarabande (From  Barry Lyndon )","The City of Prague Philharmonic Orchestra",0,118,"orchestre, classique","Kubrick",2011-01-10,04:10,30,6,88,90,7,0,0,-17,D Minor,3,2021-12-29,2Xgz3y903BxnPdjgA7FDiP,"undefined",7A,GBAJC9902166
35,"Enter One","Sol Seppy",0,97,"art pop","Son of a Gun (Original Motion Picture Soundtrack)",2014-01-01,06:15,35,8,98,0,8,0,0,-14,A#/B♭ Major,4,2021-12-29,26pC4BgyjdRIeieIcGqLcw,"undefined",6B,GBLAZ0500012
36,"Perfidia","Xavier Cugat",23,122,"exotica, mambo, jazz latino, orchestre, cha-cha-cha, big band","Xavier Cugat",2005-01-01,03:25,47,51,95,93,68,0,10,-9,A#/B♭ Major,4,2021-12-29,0MT3mfFBnednQvhvumRC5s,"undefined",6B,ES64A0915201
37,"Homelands","Nitin Sawhney",42,106,"trip-hop","Beyond Skin",1999-06-21,06:02,40,58,35,10,54,0,40,-14,D Major,4,2021-12-29,5FqlDVyNf0FuHKAPS8a6K4,"undefined",10B,GBDYB9900022
38,"Gentle on My Mind","Dean Martin",45,97,"standards pour adultes, big band, swing","The Reprise Years",2013-11-19,02:36,65,43,73,0,76,0,20,-10,E Major,4,2021-12-29,0znQyUrJwmuLenUzJXawEY,"undefined",12B,USQX91301965
