#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Ivan Boris Et Moi","Marie Laforêt",0,131,"chanson, pop française, jazz français, variété française","Master Serie",1999-01-01,02:16,58,50,80,0,96,0,10,-11,G#/A♭ Minor,4,2021-12-29,6S3k0eHO8gr7hvE51v93PE,"undefined",1A,FRZ077501163
2,"Gentle on My Mind","Dean Martin",45,97,"standards pour adultes, big band, swing","The Reprise Years",2013-11-19,02:36,65,43,73,0,76,0,20,-10,E Major,4,2021-12-29,0znQyUrJwmuLenUzJXawEY,"undefined",12B,USQX91301965
3,"Yumeji’s Theme (From  In the Mood for Love )","Angèle Dubeau,La Pietà",35,133,"classique, minimalisme","Silence On Joue - Take 2",2016-10-28,02:27,28,11,91,77,8,0,10,-21,F Minor,3,2021-12-29,3DgNGTpG1sBZenGIK2kP8B,"undefined",4A,CALC41601155
4,"This Eve of Parting","John Hartford",24,115,"bluegrass, newgrass, americana","Lady Bird - Soundtrack from the Motion Picture",2018-01-12,02:32,56,46,18,0,34,0,20,-12,F#/G♭ Major,4,2021-12-29,4pjBZvYhBqKscLO4NlU7TF,"undefined",2B,USRN10100443
5,"Rosy Path","Elysian Fields",19,98,"","Ghosts of No",2016-04-29,03:11,64,44,4,28,47,0,10,-12,E Minor,4,2021-12-29,4McgSsSRGd4SAvpnosBhbg,"undefined",9A,FRQ031614202
6,"Dance of Maria","Elias Rahbani",0,100,"","Mosaic of the Orient",1992-00-00,02:47,47,51,1,55,48,0,20,-12,C♯/D♭ Major,4,2021-12-29,4Pz6wlElvVe3JsLaRsj6kW,"undefined",3B,FR10S1444960
7,"(Where Do I Begin) Love Story","Shirley Bassey",30,95,"easy listening","Love Songs",2007-01-15,03:17,39,45,64,0,50,0,0,-9,D Minor,4,2021-12-29,5C1g7DYonUudv5Jn74J19e,"undefined",7A,USCA27100060
8,"Le ou lov","Jean-Michel Rotin",0,94,"zouk, kizomba","L'intégrale",2010-03-23,03:58,82,61,11,1,70,0,10,-9,C Major,4,2021-12-29,0IYcyFqTjJ51O0WML61st8,"undefined",8B,FRP8I1610970
9,"Do It, Try It","M83",49,117,"","Junk",2016-04-08,03:37,58,71,2,1,16,0,0,-7,G Minor,4,2021-12-29,7DzQAoFm8oJIZjXXif6mcn,"undefined",6A,GB55H1600001
10,"I Got The...","Labi Siffre",47,91,"","The Music Of Labi Siffre",2001-00-00,06:24,52,64,4,0,60,20,10,-8,C Major,4,2021-12-29,2tQKA7DAqoVX8ouYgNpHHl,"undefined",8B,GBAYE7500401
11,"Tamacun","Rodrigo y Gabriela",0,129,"rock acoustique","Rodrigo Y Gabriela",2006-00-00,03:25,59,91,81,86,97,0,0,-7,G Major,4,2021-12-29,5Z7C03KLFHS1bMwTvm8CMy,"undefined",9B,IEACJ0400170
12,"Mon Amour Mon Ami","Marie Laforêt",0,120,"chanson, pop française, jazz français, variété française","Master Serie",1999-01-01,02:22,56,45,86,0,55,0,10,-10,G#/A♭ Major,4,2021-12-29,5WeIapSr7C58XdOGfBxtbh,"undefined",4B,FRZ077301201
13,"Love Soup","Bon Voyage Organisation",0,79,"pop française, house française","Xīngyè - EP",2015-06-08,07:37,48,57,6,48,15,0,20,-7,A Minor,4,2021-12-29,3VBfc9DgKvae8FOlBZyKrP,"undefined",8A,FR9W11503574
14,"Cloud Symphony","Shook",32,105,"nu disco, house française, synthwave, house funky","Shook",2013-08-06,06:24,75,47,67,91,80,0,20,-14,A Minor,4,2021-12-29,4cS2DmYMl17AaSBfHdiLb4,"undefined",8A,TCABP1336304
15,"Stand on the Word - Studio Version","The Joubert Singers",39,108,"","Stand on the Word",2016-08-26,05:03,71,73,13,0,62,0,10,-6,F#/G♭ Major,4,2021-12-29,5vENdsWnbqEBK54OowpBlR,"undefined",2B,FRODU0815000
16,"Never Step Back","Evgueni Galperine,Sacha Galperine",0,157,"","Baron noir (Bande originale des saisons 1 et 2)",2018-01-22,02:09,42,9,98,96,12,0,0,-21,A Minor,3,2021-12-29,4qdThr3O4WPaV3C82Bfqai,"undefined",8A,FRIDO1810049
17,"Je suis d'accord - Stereo Mix","Françoise Hardy",34,82,"chanson, pop française, variété française, jazz français","Tous les garçons et les filles",1962-06-30,02:03,67,50,65,0,92,0,10,-9,G#/A♭ Major,4,2021-12-29,2bpo5VdILic6cZ4KwXoQj3,"undefined",4B,FRZ196200040
18,"Enter One","Sol Seppy",0,97,"art pop","Son of a Gun (Original Motion Picture Soundtrack)",2014-01-01,06:15,35,8,98,0,8,0,0,-14,A#/B♭ Major,4,2021-12-29,26pC4BgyjdRIeieIcGqLcw,"undefined",6B,GBLAZ0500012
19,"I've Gotta Be Me - 2016 Remaster","Sammy Davis Jr.",8,95,"big band, swing, standards pour adultes, jazz vocal","The Best of Sammy Davis Jr. - Original Reprise Recordings (Remastered)",2016-03-10,02:54,41,37,48,0,65,0,10,-14,C Major,3,2021-12-29,4xLYjht3XeD96LKMtWhmao,"undefined",8B,GBAWA0214956
20,"Irgendwie, irgendwo, irgendwann","Nena",0,204,"neue deutsche welle, schlager, pop allemande","Einmal ist keinmal",2006-00-00,04:09,33,74,0,0,57,0,20,-10,G Major,4,2021-12-29,1XALya9I46XSyv7R4PZVqx,"undefined",9B,DEE869901718
21,"Maria Elena","Los Indios Tabajaras",47,84,"","Maria Elena",1964-08-26,03:07,67,10,93,84,59,0,10,-19,B Major,4,2021-12-29,3ygHAK1w3qP4wp83KXUiiu,"undefined",1B,USBL10100334
22,"Crimson & Clover","Tommy James & The Shondells",51,82,"","Anthology",1989-00-00,03:29,41,69,24,3,68,0,20,-9,B Major,4,2021-12-29,0I4yYE831a8SW8QIx6bz4x,"undefined",1B,GBAYE6800094
23,"Viens Viens","Marie Laforêt",0,111,"chanson, pop française, jazz français, variété française","Best Of 2 CD",2002-01-01,03:22,39,60,49,0,40,0,30,-9,G Major,4,2021-12-29,0300BSHLjnVIjhbnTxznO9,"undefined",9B,FRZ027300700
24,"Drôle de question","Roméo Elvis,Le Motel",0,120,"pop française, ","Morale 2",2017-03-17,03:01,67,43,53,0,32,40,0,-14,A Major,3,2021-12-29,1lqGmKAtGz2YPvYVS0DkhH,"undefined",11B,BEEO51700004
25,"Ashes to Ashes","Warpaint",0,119,"dream pop","Ashes to Ashes",2010-00-00,05:10,70,87,19,2,83,0,10,-6,C♯/D♭ Major,4,2021-12-29,5wBUAqKObbSe6ZsCVI7cMb,"undefined",3B,GBHLW1011152
26,"La belle vie","Sacha Distel",58,76,"chanson, variété française, jazz français","Sacha Distel: Crooner",2014-11-15,02:03,20,40,79,0,25,0,30,-9,G Minor,4,2021-12-29,78OdnOhPOk19xYhGAKgjCO,"undefined",6A,FRZ306400003
27,"India Song - BOF India Song","Jeanne Moreau",32,70,"jazz français, chanson, variété française, pop française","Chanson française",2015-06-15,03:25,30,20,76,39,19,0,10,-15,G Minor,4,2021-12-29,46SOx5T1UwQ1Ke8dA3RAhF,"undefined",6A,FRZ026600420
28,"À bicyclette","Yves Montand",39,74,"chanson, jazz français, variété française","Yves Montand Gold",2007-01-01,02:43,48,29,90,0,49,0,10,-15,F Minor,4,2021-12-29,18dwyNRkzzggWGBPWKH5Uh,"undefined",4A,FRZ036800530
29,"Get Misunderstood","Troublemakers",31,84,"trip-hop","Barcelona - Paris. 2nd Flight (Select and Mixed by David De Barce)",2013-10-29,03:24,20,57,85,75,33,0,30,-7,A#/B♭ Minor,4,2021-12-29,2KcV5ct6aFsNwttv2ZsNtJ,"undefined",3A,ES6101323306
30,"Allant vers, à l'envers","Malik Djoudi",35,124,"pop française, house française","UN",2017-07-21,03:43,79,27,84,31,46,0,0,-17,G#/A♭ Minor,4,2021-12-29,1bTo8Nu19MuTVJXTXXjBVE,"undefined",1A,TCADA1703823
31,"Familiär","Agnes Obel",0,137,"chamber pop","Citizen of Glass",2016-10-21,03:55,55,41,92,1,23,0,10,-12,E Major,4,2021-12-29,4z7N3LUchksm6yMrH2XHA4,"undefined",12B,GBENL1601663
32,"Le vide est ton nouveau prénom","La Femme",0,99,"pop française, house française","Mystère",2016-09-02,04:07,68,34,55,23,30,0,50,-10,A Minor,4,2021-12-29,7EmgGaSHwujnWyaKLc83OX,"undefined",8A,FR9W11610759
33,"Three King Fishers","Gábor Szabó,Jim Stewart,Hal Gordon,Jimmy Keltner,Louis Kabok",40,140,"","Bacchanal",1968-00-00,04:48,50,49,50,86,22,0,10,-12,B Minor,4,2021-12-29,6w3bIc0BxTPGNHqyH4KNiY,"undefined",10A,USA560663430
34,"Il A Neigé Sur Yesterday","Marie Laforêt",0,141,"chanson, pop française, jazz français, variété française","Best Of 2 CD",2002-01-01,03:15,56,48,79,0,42,0,30,-10,C Minor,4,2021-12-29,5dUDrFmmfyCOmzccxaUKxC,"undefined",5A,FRZ027700490
35,"Sparkling Rain","Dita Von Teese,Sébastien Tellier",0,125,"disco italienne, house française, downtempo","Dita Von Teese",2018-02-16,03:26,81,65,16,12,58,0,10,-9,D Major,4,2021-12-29,5uKzURejzGaOiioo1tFyRX,"undefined",10B,FRS711700030
36,"A quoi ça sert l'amour ? (avec Théo Sarapo) - 2012 Remastered","Édith Piaf,Theo Sarapo",24,97,"chanson, variété française, jazz français","Hymne à la môme (Best of)",2013-08-05,02:27,47,64,80,0,50,0,10,-5,F#/G♭ Minor,4,2021-12-29,4GRLdnWungh5NwYXh3Cjyi,"undefined",11A,FRZ111200936
37,"C'est la vie","Coralie Clement",28,92,"jazz français, chanson, pop française","Toystore",2008-10-06,02:28,66,63,73,0,73,0,0,-6,D Minor,4,2021-12-29,7zxkXXjlLi5YKUsRzfKoG6,"undefined",7A,FR9W10801109
38,"No Comment","Serge Gainsbourg",24,113,"chanson, variété française, pop française, jazz français, house française","Love On The Beat",1984-01-01,05:09,73,73,1,5,83,0,20,-11,F#/G♭ Minor,4,2021-12-29,62bpabGhmSC3lsUdnDRoZN,"undefined",11A,FRZ038401080
39,"Lloraras","Dimension Latina,Oscar D'León",0,96,"salsa, salsa romantica, merengue","15 Exitos De- Oscar D Leon",1996-02-28,03:41,71,71,58,0,96,0,0,-8,A Major,4,2021-12-29,23Fw0qh3Onqn2276LiL2pT,"undefined",11B,US2BR9700006
40,"Je vais au cinéma","Arnaud Fleurent-Didier",16,75,"pop française, chanson, house française","La Reproduction",2010-00-00,03:41,65,67,61,0,62,0,30,-7,A Minor,4,2021-12-29,1uPV1I70YE5VlgzIT5ZXga,"undefined",8A,FRZ080900702
41,"Reino de Silia","Vicente Amigo",23,159,"flamenco, pop flamenco","De Mi Corazón Al Aire",1991-10-07,04:16,60,53,71,41,53,0,10,-13,A Minor,5,2021-12-29,0jYcQPfLwi9YpAKaX713QG,"undefined",8A,ES5119901939
42,"Tombé du ciel","Jacques Higelin",49,93,"chanson, variété française, jazz français, pop française, house française","Tombé du ciel",1988-01-01,04:46,68,70,20,0,74,0,20,-6,D Minor,4,2021-12-29,2W3uIX1I9qGOsBLWpEpMch,"undefined",7A,FRZ110800658
43,"Jennesys","Emrod",56,124,"","Jennesys",2017-03-10,04:00,65,83,21,84,14,0,10,-8,C Major,4,2021-12-29,7LihoPgTF9hnxMh9lRTNkA,"undefined",8B,FR9W11702898
44,"Estelita","Opez",0,116,"","Dead Dance",2015-06-08,04:40,71,37,52,86,41,0,10,-13,B Minor,4,2021-12-29,1hw543hhdWTKtOvDMkD6uQ,"undefined",10A,DEEQ71505903
45,"La Plage","Marie Laforêt",0,96,"chanson, pop française, jazz français, variété française","Master Serie",1999-01-01,02:56,60,24,86,0,31,0,10,-14,B Minor,4,2021-12-29,5iqjX34bLaM0ZBi8hEAYlH,"undefined",10A,FRZ077501180
46,"His Master’s Voice","Monsters Of Folk",0,153,"indie folk, folk, country alternative","Monsters Of Folk",2009-09-20,04:50,38,39,84,0,18,0,10,-9,C Major,3,2021-12-29,7cYq8I8W74RVDAG1IilnaB,"undefined",8B,USM880900090
47,"Je n'en connais pas la fin","Édith Piaf",11,104,"chanson, variété française, jazz français","50 succès essentiels",2013-01-01,03:20,55,32,97,0,40,0,0,-7,D#/E♭ Major,4,2021-12-29,594Q1TrXgqNjK52zLhQuWY,"undefined",5B,FRW111300206
48,"Bird of Prey","Dita Von Teese,Sébastien Tellier",0,120,"disco italienne, house française, downtempo","Dita Von Teese",2018-02-16,02:57,58,58,2,12,24,0,10,-8,A#/B♭ Major,4,2021-12-29,3V4e5369LHfQcU6FpExLkU,"undefined",6B,FRS711700070
49,"It's Oh So Quiet (feat. Patrik Boman & Ronnie Gardiner)","Lisa Ekdahl,Peter Nordahl Trio,Patrik Boman,Ronnie Gardiner",25,110,"visor, jazz vocal, jazz","Heaven, Earth & Beyond",2002-11-08,02:36,71,14,76,0,18,0,10,-13,C Minor,3,2021-12-29,5LzHV40I3cs4Laik7RhCTy,"undefined",5A,SEBMC9866071
50,"Paint It Black","Rémi Panossian",19,93,"jazz français","DO",2018-02-02,04:50,30,39,95,82,30,0,0,-15,C Major,4,2021-12-29,5jDz85zCpp0dK6wUdVluzC,"undefined",8B,FR9W11710869
51,"Betece","Africando,Amadou Balake",0,95,"salsa, mambo, son cubano, ","Betece - All Stars",2000-01-01,05:04,73,79,32,2,94,0,0,-7,A Minor,4,2021-12-29,55BLyzEWvwLYsho1xuEcjM,"undefined",8A,GBNRN0609208
52,"Il est cinq heures, Paris s'éveille","Jacques Dutronc",40,140,"chanson, variété française, pop française, house française","En Vogue",2004-01-07,02:53,56,66,23,0,75,0,30,-8,A Major,4,2021-12-29,1Gw2viJ4XE9hylW4ujtNef,"undefined",11B,FRZ196700050
53,"Porto - Mix","Worakls",0,128,"techno minimale, techno mélodique, électro","Club St Tropez 2014",2014-06-30,05:30,68,71,0,84,20,0,10,-7,G#/A♭ Major,4,2021-12-29,2a23NJzyZneFwKmu9IDS84,"undefined",4B,FR52F1462303
54,"Comme ils disent","Charles Aznavour",0,107,"chanson, variété française, jazz français","Idiote je t'aime... (Remastered 2014)",1972-00-00,04:54,32,49,75,0,50,0,10,-7,E Minor,5,2021-12-29,7pO5P9AWsB9cQE6McCNgIH,"undefined",9A,FRZ117200640
