#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Cascades","Tonnerre",40,160,"","Ripples",2023-01-23,01:54,58,66,79,79,25,0,10,-11,C Minor,4,-,0I0ovH4VP1dfi3bmzRdVzm,"undefined",5A,QZFZ32351559
2,"Fore to the Come","Fellini Félin",34,120,"","Temporary Fiction (Remixes)",2018-07-27,02:21,65,41,13,0,22,0,10,-11,A#/B♭ Minor,4,-,1M2M9XKJqLBh53vFNZaTJ3,"undefined",3A,FR9Z61800124
3,"Akihi","Takeshi's Cashew",31,131,"","Humans In A Pool",2021-06-04,05:38,40,80,12,1,90,0,10,-9,B Minor,4,-,585G4ngYqOUkHfRNyLzsd1,"undefined",10A,QZHN62004107
4,"Florence","Ana Moreau",34,64,"chanson","J'ai rêvé hier soir",2023-12-08,03:29,44,40,89,10,11,0,10,-12,B Minor,5,-,0Q7eA3mrkaOxblTu92rGpX,"undefined",10A,FRPZ92345080
5,"The One I Am","Zeebee",36,100,"tango","Be My Sailor",2010-03-19,03:24,92,39,1,33,46,0,0,-8,A Minor,4,-,7manNciWZqRyT5slrdJPRS,"undefined",8A,ATW631002804
6,"Générique","Wojciech Kilar,L'Orchestre Symphonique De La Radio Et De La Télévision Polonaise,Stanisław Wisłocki",30,94,"","Le Roi Et L'Oiseau (Bande Originale Du Film)",2007-01-02,02:37,28,19,98,78,14,0,10,-18,G Major,3,-,1sH1imaeZOiOrdGxvA6I1u,"undefined",9B,FRX087990031
7,"The Colony","Vera Sola",31,131,"","Shades",2018-11-09,02:48,60,63,45,0,57,0,10,-9,C Minor,4,-,4PbB4EBGs16fSMY9DKyYIg,"undefined",5A,QZDPP1800002
8,"Wonderful","Peter Cruseder",33,160,"","Wonderful",2023-09-15,02:54,38,37,46,0,32,0,10,-8,B Minor,3,-,6OSALEyq0Nz4HjRQK1WDrh,"undefined",10A,DE1JN2396183
9,"Mahalageasca - Shantel DUB","Shantel,Mahala Rai Banda",42,120,"","Shantology // The Bucovina Club Years",2017-11-02,04:18,85,76,27,79,79,10,10,-6,A Minor,4,-,1rhlWjJHCgxCWetBwQyiKH,"undefined",8A,DEAZ21700746
10,"Runaway","Ramin Djawadi",47,80,"b.o.","Westworld: Season 2 (Music From the HBO Series)",2018-06-25,02:48,53,17,91,88,16,0,10,-16,C♯/D♭ Minor,4,-,4NBYp73qsxFh9yUUnMy6jz,"undefined",12A,USNLR1800399
