#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Alba's Shake","Alba and Aris Karantanis",25,95,"","Alba and Aris Karantanis",2019-07-05,02:42,63,54,80,85,92,0,0,-11,D#/E♭ Minor,4,2025-03-17,0ya5c4BUsXLj5b6SZ95WGY,"undefined",2A,BEN581900560
2,"Si Tu T'En Irais","Jean Yanne",20,66,"chanson, pop française","Compilation - Master Serie",1994-01-01,02:09,42,43,22,0,47,0,10,-10,D Minor,4,2025-03-17,2yAfZe5f6d7YLHi90MGI2y,"undefined",7A,FRZ016401690
3,"Vertigo","Alexia Gredy",15,99,"pop française","Hors saison",2022-01-21,03:09,58,68,22,0,20,0,10,-9,D Minor,4,2025-03-17,4WhhmObZ266mXBBG4ojDau,"undefined",7A,FR9W12042530
4,"Vero","Amor Fou",19,128,"","100 Giorni Da Oggi",2012-01-01,04:30,58,81,1,82,56,0,10,-8,B Major,4,2025-03-17,1g5v0fSxuJIHu5h6Ti1kbn,"undefined",1B,ITUM71200251
5,"Tu connais","Volo",32,156,"chanson, variété française, house française","En attendant",2009-09-14,02:36,62,48,80,2,71,0,10,-12,A Minor,3,2025-03-17,30wQiRpcMgb3fGO60u1HZi,"undefined",8A,FROPM0900110
6,"Vivo","Andrea Laszlo De Simone",36,100,"","Vivo",2021-03-05,04:53,38,42,15,56,25,0,60,-10,G Major,3,2025-03-17,0sIV9fZdiscuf0Xb1HTPVR,"undefined",9B,IT3GN2100001
7,"Still You","Justine & The Victorian Punks",22,115,"","Peter Gordon & Love of Life Orchestra",2010-10-12,07:43,68,83,11,77,93,0,0,-5,B Minor,4,2025-03-17,13bIPfSmxOkdPwyPBZHmkC,"undefined",10A,US4GE1000070
8,"Into The Fire","Thirteen Senses",57,174,"","The Invitation",2005-00-00,03:38,39,64,4,1,14,0,10,-7,D#/E♭ Minor,4,2025-03-17,3mGGrT3NVzpa2M9gnocR45,"undefined",2A,GBF080400382
9,"Mam'selle bulle","Tryo,Les Ogres De Barback",37,134,"variété française, chanson, house française, pop française","La pittoresque histoire de Pitt Ocha",2003-04-01,03:54,79,60,67,0,66,10,0,-8,A Minor,4,2025-03-17,3qOtWKFjrGJky92RPuZH9K,"undefined",8A,FRP400300170
10,"Caresse mes cheveux","DOLORES,The Vrooming Crew",35,97,"","Caresse mes cheveux",2021-04-08,03:04,62,41,83,0,33,0,10,-6,C Major,4,2025-03-17,2O9pjse8puH7gpLkJxvOm7,"undefined",8B,FRW582000487
11,"IX","Mòn",23,160,"","Guadalupe",2019-01-25,03:47,66,67,32,17,55,0,0,-7,D Major,4,2025-03-17,0lU19MaLFC3QUGN9S2zQxt,"undefined",10B,itc251900008
12,"A Last Waltz","Secret of Elements,Mischa Blanos",25,95,"piano classique","Chronos",2021-04-23,03:24,17,32,83,70,12,0,10,-15,C Minor,3,2025-03-17,11Wip0uM4ey8egqB0r9UoK,"undefined",5A,FRT092100019
13,"La petite minette","Julie Bataille",4,127,"pop française","Chantez, Chantez, Pinkish",2018-11-30,03:19,58,90,73,0,84,0,10,-6,A Minor,4,2025-03-17,6uNfbmvMHEiSIK4xK0GJWV,"undefined",8A,FRP2A7500120
14,"Days Pass","Adrián Berenguer",41,166,"","The Art of Loneliness",2019-09-02,02:55,62,39,88,96,29,0,10,-11,A Major,4,2025-03-17,7vRPLFjO47TOp55JdMDCM1,"undefined",11B,AEA0Q1956049
15,"La femme de ma vie","Benoît Dorémus",11,98,"chanson, variété française, pop française","En tachycardie",2016-02-05,02:30,63,47,60,0,38,0,10,-10,A Major,4,2025-03-17,2KviYns8a2dtngGsdKw7d3,"undefined",11B,FR9W11512507
16,"Waiting","The Devlins",39,77,"","Waiting",1997-10-21,04:48,61,49,45,0,12,0,10,-9,E Minor,4,2025-03-17,15zLQ8GicAaVJncdY0MwsP,"undefined",9A,USWWW0131912
17,"Je t'aime","Michèle Bernard",23,80,"chanson","Voler",2005-10-06,02:38,45,22,86,0,56,0,20,-10,E Minor,4,2025-03-17,3RMNCggXdmUjRaMsU15Clj,"undefined",9A,FR6V89800649
18,"Continent","Adrián Berenguer",42,149,"","The Journey",2018-09-11,01:33,58,46,94,87,16,0,0,-8,G Major,4,2025-03-17,3FNVSFE0blRr28JaPAMInN,"undefined",9B,AEA0D1949982
