#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Riddle Of The Model","Sing Street",39,103,"","Sing Street (Original Motion Picture Soundtrack)",2016-03-18,01:48,75,64,9,0,81,0,30,-9,B Minor,4,2021-12-29,1HzOXwm0P3Oeac5ccmMgCu,"undefined",10A,GBUM71601387
2,"On the Road","Marc Streitenfeld",0,144,"b.o.","Welcome to the Rileys (Original Motion Picture Soundtrack)",2016-10-14,00:57,66,13,99,94,56,0,0,-21,B Minor,3,2021-12-29,6hLLV0DQ15Y8UHEu2chYbn,"undefined",10A,USLS51019810
3,"Dans les yeux d'Émilie","Joe Dassin",60,149,"chanson, variété française, pop française","Les Femmes De Ma Vie",1978-08-20,03:44,46,92,32,2,60,0,0,-5,C Minor,4,2021-12-29,2kkuEKckbZRRZDbpFR5OuN,"undefined",5A,FRZ087700420
4,"For the Damaged Coda","Blonde Redhead",0,141,"shoegaze, dream pop","Melody of Certain Damaged Lemons",2000-06-06,02:37,50,47,80,88,8,0,0,-10,C Minor,4,2021-12-29,7jA5OcunWRSYXq98puhAX8,"undefined",5A,USTG30021611
5,"Peter Pan Death Wish","Melkeveien",0,110,"","Peter Pan Death Wish",2014-06-16,04:49,87,37,3,51,49,20,0,-11,C♯/D♭ Major,4,2021-12-29,5xWeoaMpK9fka6OLudHYjG,"undefined",3B,NO2SI1401010
6,"Et ta mère","Zoufris Maracas",50,120,"","Prison Dorée (Nouvelle Edition)",2012-10-08,02:49,84,57,62,0,94,0,10,-7,A Minor,4,2021-12-29,2HEr6PARUW822o9VLx25mg,"undefined",8A,FR1OS1100009
7,"Plus putes que toutes les putes","ORTIES",0,158,"électroclash","Sextape",2013-02-18,02:25,56,88,7,0,28,10,10,-5,A Major,4,2021-12-29,4hFaTMF5f8VhToD2ZAQXQw,"undefined",11B,FR0Q61300003
8,"Tears - Remastered","Giorgio Moroder",29,112,"disco italienne, disco","Son of My Father (Remastered Bonus Track Edition)",2013-05-09,02:23,30,61,1,95,58,0,10,-9,A#/B♭ Major,4,2021-12-29,50zNfN8K9LXK8JroW6GxCa,"undefined",6B,DED467200234
9,"Logan's Loop","Andrew Bird",0,98,"chamber pop, pop baroque, indie folk","I Want to See Pulaski at Night",2013-11-19,01:08,83,38,93,87,89,0,10,-13,G Major,4,2021-12-29,0GHhDdhjuRfQYp3Sx92yLS,"undefined",9B,US4H71311123
10,"Mad About You - Live at Koningin Elisabethzaal 2012","Hooverphonic",55,78,"trip-hop, downtempo","With Orchestra Live",2012-10-26,03:59,39,45,61,0,19,0,70,-12,B Minor,4,2021-12-29,5YwVDOWMKH7T0KtvpPSESQ,"undefined",10A,BEB471200174
