#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Dancing Alone","Magnetic Ensemble,Jeanne Added",37,105,"","Dancing Alone",2015-03-30,03:26,78,48,1,3,79,0,0,-9,F Minor,4,2020-11-27,41eNZSwXBhr94g4IkZez5r,"undefined",4A,FR9W11501626
2,"Roundabout - 2003 Remaster","Yes",18,133,"rock progressif, rock symphonique, art rock, rock album","Fragile (Deluxe Edition)",1971-11-26,08:30,41,76,7,1,39,0,0,-9,E Minor,4,2020-11-27,0YveezON7jpiaHA8fnUHxN,"undefined",9A,USEE10251885
3,"Adriatica","Opez",0,114,"","Dead Dance",2015-06-08,03:30,84,41,32,82,55,0,10,-14,A#/B♭ Major,4,2020-11-27,0Nt3KvakNjO2lKJzdzYR2Q,"undefined",6B,DEEQ71505904
4,"La plus belle chanson du monde","Jacqueline Taieb",32,93,"pop française","Jacqueline Taïeb",1967-04-03,02:32,50,80,2,0,41,0,10,-4,F#/G♭ Minor,4,2020-11-27,2eGfDDQtptK4isVIdNEnCS,"undefined",11A,FRX086790137
5,"Klets","BRUUT!",11,151,"jazz funk","V",2018-11-30,05:10,35,74,5,24,63,0,30,-8,G Minor,4,2020-11-27,6dPaD0LCcXBig0dSer5Rwy,"undefined",6A,NLH211800074
6,"Crush","Tessa Violet",0,136,"","Bad Ideas",2019-10-25,03:35,91,40,3,0,82,0,0,-10,C♯/D♭ Major,4,2020-11-27,47hDuWmh0PU9AARzs5vflv,"undefined",3B,US3DF1813109
7,"Dona Nobis Pacem 2","Max Richter",42,104,"néo-classique, minimalisme, classique, ambient","The Leftovers: Season 1 (Music from the HBO Series)",2014-12-02,03:20,20,21,69,15,3,0,0,-13,F Major,4,2020-11-27,4wkxtebeaxN8KvYe0CEi5y,"undefined",7B,USNLR1400844
8,"andata - Electric Youth Remix","Ryuichi Sakamoto,Electric Youth",0,120,"musique classique japonaise, ambient, synthwave, synthpop","Async - Remodels",2018-02-23,05:50,81,43,31,92,62,0,10,-10,G#/A♭ Minor,4,2020-11-27,30EylUmx3qmMrpZ5oY6S3O,"undefined",1A,FRZ811706218
9,"Loulou","BRUUT!",31,98,"jazz funk","Superjazz",2017-02-03,05:11,56,29,73,51,44,0,10,-12,C Minor,4,2020-11-27,4somhAW29KvKX8g4BwdKBr,"undefined",5A,NLH211600035
10,"Crystal Dolphin","Engelwood",0,128,"lo-fi beats, beats jazz","Crust Fm",2017-12-06,01:55,57,69,36,0,40,10,40,-9,C♯/D♭ Minor,4,2020-11-27,6kx8Hf1Udk4V0Ivq6zpoyG,"undefined",12A,TCADK1700752
