#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1431,"Drumming Woman","Cari Cari",148,8B,58,2025-08-11,02:42,29,"","One More Trip Around The Sun",2025-03-07,58,12,15,9,0,10,-7,C Major,4,0ine0IOjxTIpmJEIKkda23,DGA0T2412707
1432,"Pas si dangereuse","Ojos",137,11A,20,2025-08-21,03:45,35,"pop française, pop française indie","OUI FUTUR",2025-01-24,51,92,0,14,0,10,-14,F#/G♭ Minor,3,5wHZ87uCTzod5aDVbOMSEh,FRP622401190
1433,"La vie cajun","Féloche",168,8A,61,2025-08-21,02:56,41,"cajun","La vie cajun",2009-00-00,71,50,39,77,0,20,-7,A Minor,4,15WWKntnSPavgxvFuaeFgY,FR99S0900013
1434,"L'inverse du coup de foudre","MPL",138,11B,40,2025-08-21,03:18,35,"pop française, pop française indie, variété française","L'inverse du coup de foudre",2025-06-27,64,73,0,41,0,10,-10,A Major,4,4cJN8a5hhHRoO07giaVwLl,FR9W12472219
1435,"Lundi bleu","pâle regard",131,7B,75,2025-08-24,04:01,34,"pop française indie","Lundi bleu",2025-01-27,59,0,50,52,0,0,-9,F Major,4,7FkP5rr35qXIOOKo4fISwp,FR9W12503023
1436,"Ouverture","RAUMM",144,10B,42,2025-08-24,01:58,26,"techno","Demain Sera Meilleur (Original Motion Picture Soundtrack)",2022-03-18,26,81,89,14,0,10,-14,D Major,3,4CJCSe5tyh0ukY0RL8bfvc,QZMHL2236547
1437,"16'30 Contre la censure","eben,Niro,Fonky Family,Abou,Akhenaton,Chien De Paille,The Insomniak,Driver,KDD,L'Ame du Raswar,Ménélik,Mystik,Prodige Namor,Sinistre,Soldafada,Yazid,White & Spirit",180,3B,75,2025-08-25,16:52,21,"rap français, pop urbaine, r&b français, g-funk","16'30 Contre la censure",1999-01-01,62,6,0,53,30,30,-7,C♯/D♭ Major,4,5H0oTqgMq0NgvX4FnZXRr4,FR08S9800001
1438,"Nous deux","Nola,Pixel",104,12B,69,2025-08-25,02:53,7,"pop française, pop française indie","Nous deux",2023-03-17,72,25,0,63,10,10,-9,E Major,4,0mm5AXz1AvcG08b0THOewF,FRP9W2300240
1439,"Je suis - Tu hais","KIZ",103,7B,57,2025-08-25,03:03,27,"pop française, variété française","Des tours",2017-03-03,84,11,0,81,0,10,-7,F Major,4,7iakyylD6eHqYlizCqZgjV,FR2R01700050
1440,"Sans bouger","KIZ,Camille Esteban",97,11A,64,2025-08-25,03:03,3,"pop française, variété française","Nous deux",2020-04-17,87,9,0,82,0,10,-6,F#/G♭ Minor,4,6zISAjPxTXIZWzYQAdUohC,FR2R01900670
1441,"fureurs secrètes","Meimuna",98,8B,46,2025-08-27,03:38,21,"","c'est demain que je meurs",2024-10-18,73,60,10,22,0,10,-10,C Major,4,1ROfXsa4KfG4pFSyJBuHZG,CH8092402353
1442,"La Plage","Al'Tarba,Degiheugi",184,2A,57,2025-08-28,03:24,36,"trip-hop","Le Cabinet des Curiosités, Vol. I",2021-10-08,56,3,0,63,0,70,-9,D#/E♭ Minor,4,6ILFATByAhD4Wr29ktem4y,FXQ132000024
1443,"les adultes parlent","DO not DO",170,7B,67,2025-08-28,03:30,34,"pop française indie, pop française","les adultes parlent",2024-02-16,55,1,0,71,0,10,-7,F Major,4,0co7CcnrDXZ8gHMXttDnJJ,FR9W12404476
1444,"Diamants","MPL",94,10A,60,2025-08-29,04:22,43,"pop française, pop française indie, variété française","LU7",2020-03-27,60,31,0,40,0,10,-9,B Minor,4,77xStTWFuM5tOKhiQUJ9O3,FRD9A1901010
1445,"I Hate U","Pi Ja Ma",120,1B,79,2025-08-29,03:20,9,"pop française indie, pop française","Nice to Meet U",2019-01-18,70,10,0,92,0,10,-5,B Major,4,1AkS2HYvBeU7JmXKqnqJiL,FR2W81800007
1446,"Les mots","Comett",120,5A,42,2025-08-29,03:50,2,"","Beyond the Dark, Pt. 1",2024-10-11,55,65,30,7,0,0,-11,C Minor,4,1DT8qTGStlxM8iTc6WdX1Y,FR9W12353636
1447,"La Vieille","GRAVAS",78,9A,28,2025-09-07,04:15,2,"","GRAVAS",2025-03-28,59,83,0,45,0,10,-13,E Minor,4,3GZYvl4RB7SNY6IrHtucai,BE20C2400005
1448,"J'ai rencontré l'homme de ma vie - Remastered","Diane Dufresne",92,9B,66,2025-09-07,03:02,34,"chanson québécoise, rock québécois, chanson, variété française, pop québécoise","Tiens-toé ben j'arrive! (Remastered)",1972-01-01,54,79,0,60,0,20,-4,G Major,4,1LmUFk5aLn2RjveY2PEJvs,SIR889910103
1449,"Perfectionnisme","Bolivard,Sarah Rebecca",113,3B,57,2025-09-07,02:39,28,"pop française indie, house française, pop française, ","Bolivardisme",2025-04-04,76,6,77,22,0,10,-9,C♯/D♭ Major,4,6u6DAzc4Q9O9QvPcpfRv0u,FRIDO2511221
1450,"mon nom","TRENTE",170,11B,80,2025-09-07,03:23,31,"pop française indie, pop française","#1 CARNETS",2023-06-02,60,17,39,29,0,20,-7,A Major,3,1HQg5qjXjEYb7nnFA72TD5,FRR642301080
