Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/artist/26406,,Jenő Jandó,Jenö Jandó,100,"100 Must-Have Movie Classics, Vol. 2",Elephant,19,Elephant,__B.O/Elephant - Jenö Jandó,Triple concerto : Concerto pour violon en Ré majeur op. 61a ; Ludwig van Beethoven - D 71086
https://play.qobuz.com/album/0002894796305,,"Ludwig van Beethoven,Jenő Jandó",Loredana Bertè,53,"Beethoven: Piano Sonatas Nos. 8, 14 and 23",,0,,,"Ludwig van Beethoven : Volume 2 - D 36417 V.02, Ludwig van Beethoven : Volume 1 - D 36417 V.01, Ludwig van Beethoven : Volume 3 - D 36417 V.03, Ludwig van Beethoven : Volume 5 - D 36417 V.05, Ludwig van Beethoven : Volume 4 - D 36417 V.04, Ludwig van Beethoven : Volume 6 - D 36417 V.06, Ludwig van Beethoven : Volume 7 - D 36417 V.07, Ludwig van Beethoven - D 68804"
https://play.qobuz.com/artist/624,,"Franz Schubert,Barbara Bonney,Geoffrey Parsons",Ezy Schubert,77,"Schubert: Ave Maria, Die Forelle, Heidenröslein & Other Lieder",,0,,,Schubert klezmer - D 62123
https://play.qobuz.com/artist/606,,"Erik Satie,Alexandre Tharaud",Erik Satie,100,Satie: Avant-dernières pensées (Bonus Track Version),Erik Satie_ Alexandre Tharaud,48,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",__Autres/Erik Satie/Erik Satie_ Alexandre Tharaud,"Erik Satie - 783.SAT 11 11, The Minimalism of Erik Satie - D 02856, Letter to Erik Satie - 783.SAT 11 11, Radio classique : simplement piano - 783.06 11 A"
https://play.qobuz.com/album/0060254719671,,Nino Rota,Nino Rota,100,The Godfather (Soundtrack),La Dolce Vita,31,La Dolce Vita,__B.O/La Dolce Vita - Nino Rota,"Nino Rota film music : extraits de bandes originales de films - D 48127, Collector Nino Rota : 1911-2011 : Edition du Centenaire - 786.2 ROT 2, Nino Rota LSD Roma - D 48888"
https://play.qobuz.com/album/5099994648553,D 40356 (En rayon),"Danger Mouse,Daniele Luppi,Norah Jones",Angel Olsen,70,Rome,,0,,,"Verve remixed 3 - D 57451 V.03, The slickness - D 23705"
,,Helm & Heik,Them & I,67,2 Glorreiche 7,,0,,,
https://play.qobuz.com/album/ih2cwsjb1gkfb,,"Gareth Coker,Aeralie Brighton",Gareth Donkin,72,Ori and the Blind Forest (Original Soundtrack),,0,,,
https://play.qobuz.com/artist/38999,,Counting Crows,Counting Crows,100,Cruel Intentions,This Desert Life,44,Across A Wire- Live In New York City [Disc 1] - Across A Wire- Live In New York City [Disc 2] - August & Everything After - August & Everything After- Live At Town Hall - Hard Candy - Recovering The Satellites - This Desert Life,__Autres/Counting Crows/This Desert Life,"This desert life - D 42549, August and everything after - D 26422, Hard candy - D 24857, Cruel intentions = Sexe intentions : Bande originale du film - D 55442, Shrek 2 : bande originale du film - 786.1 SHR 1"
https://play.qobuz.com/artist/36936,,Goldfrapp,Goldfrapp,100,Wonderful Electric - Live In London,Silver Eye,37,Felt Mountain - Head First - Silver Eye - Tales of Us - The Singles,__Autres/Goldfrapp/Silver Eye,"We are glitter - D 58029 - Prêté, Charmed : the soundtrack - D 30242, Café del mar : volumen ocho - D 41959 V.08"
https://play.qobuz.com/album/nrog0ijr7ddqa,,"Frédéric Chopin,Pascal Amoyel",Electrick Children,61,"1846, dernière année à Nohant - Chopin: Cello Sonata; Piano Works",,0,,,
https://play.qobuz.com/artist/468374,,Mark Kozelek,Mark Kozelek,100,Youth - La giovinezza (Colonna Sonora Originale),Like Rats,36,Like Rats - Mark Kozelek - Mark Kozelek Sings Favorites,__Autres/Mark Kozelek/Like Rats,
https://play.qobuz.com/album/0060254733837,,Frank Sinatra,Frank Sinatra,100,Ultimate Sinatra,In the Wee Small Hours 1955,37,"Close To You - Come Dance With Me! - In the Wee Small Hours 1955 - Nice, n' Easy - Come Swing with Me! - No One Cares - Come Fly With Me - PoInt Of No Return - All Alone - Sings for Only the Lonely - Songs for Young Lovers - Songs For Swingin' Lovers! - Swing Along With Me - Swing Easy! - A Swingin' Affair! - Where Are You-",__Autres/Frank Sinatra/In the Wee Small Hours 1955,"Les Plus beaux succès de Frank Sinatra - D 47879, A jolly Christmas from Frank Sinatra - D 47233, A portrait of Frank Sinatra - D 59063, Frank Sinatra & Tommy Dorsey - D 59085, Sentimental Gentleman : featuring Frank Sinatra - D 66066 V.03-16, Frank Sinatra at the movies - D 65128, Noël crooners - 785.33 NOE"
https://play.qobuz.com/album/0886970767729,,Chet Atkins,The Kinks,70,The Essential Chet Atkins,,0,,,"The guitar genius Chet Atkins - D 59145, The birth of surf rock - 782.A 11, Guitare country : From old time to jazz times 1926-1950 - 789.86 A, Pickin on country - 789.86 ATK, Pickin' the hits - 789.86 ATK, Stay tuned - D 19732, Street dreams - D 20875"
https://play.qobuz.com/album/hg58z8vtu4ebb,783.SAT 21 (En rayon),"Erik Satie,Roland Pöntinen",Erik Satie,100,Satie: Piano Music,Piano Works,50,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",__Autres/Erik Satie/Piano Works,"Erik Satie - 783.SAT 11 11, The Minimalism of Erik Satie - D 02856, Letter to Erik Satie - 783.SAT 11 11, Radio classique : simplement piano - 783.06 11 A"
https://play.qobuz.com/artist/1052025,,"Fyfe,Iskra Strings",Fyfe,100,Fyfe & Iskra Strings EP 1,The Space Between,32,Control - Extended Play - Interiority - The Space Between,__Autres/Fyfe/The Space Between,Control - D 49050
https://play.qobuz.com/artist/1838420,,Víg Mihály,Raoul Vignal,55,Filmzenék Tarr Béla Filmjeihez (Underground Katalógus),,0,,,"Musique et cinéma du monde : Europe de l'Est : Bosnie, Albanie, Bulgarie, Croatie, Hongrie, Serbie, République Tchèque, Slovénie - D 41083"
https://play.qobuz.com/album/blj11cdcv6qpb,,"Franz Schubert,Trio Wanderer",Ezy Schubert,77,Schubert: Piano Trios Nos. 1 & 2; Notturno; Sonatensatz,,0,,,"Sur les traces de Franz Schubert - D 07661, Schubert klezmer - D 62123, Nightsong - D 42921, Schuberts ""Winterreise"" = Voyage d'hiver de Franz Schubert : Eine komponierte interpretation (1993) - D 05188"
,,London Piano Players,London Music Works,58,Emotional Movie Themes on the Piano,,0,,,"Concerto pour piano en ut majeur n° 6 Concerto pour piano en mi bémol majeur n° 4 - D 29044, Concertino pour piano en sol majeur, op. 73 Concerto pour piano en la bémol majeur, op. 113 Rondo de Société pour piano en ré majeur, op. 117 - D 19359, Hummel - D 58085"
https://play.qobuz.com/artist/1407,,Philip Glass,Glass Philip,100,The Truman Show (Music from the Motion Picture of Peter Weir),Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),31,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),
https://play.qobuz.com/artist/563469,,Anne Sophie Versnaeyen,Anne-Sophie Versnaeyen,100,Lovecraft,Soul Stories (Emotional Orchestral Drama Tracks),29,Soul Stories (Emotional Orchestral Drama Tracks) - Soul Stories 2 (Emotional Orchestral Drama Tracks) - Soul Stories 3 - Emotional Orchestral Drama Tracks,__Autres/Anne-Sophie Versnaeyen/Soul Stories (Emotional Orchestral Drama Tracks),Mascarade : musique originale - D 71588
https://play.qobuz.com/album/datoc62zqgfza,,Burkhard Dallwitz,Tyler Burkhart,58,The Truman Show (Music from the Motion Picture of Peter Weir),,0,,,Truman show : Bande originale du film - D 28150
https://play.qobuz.com/artist/502154,,"Rick Clark,London Music Works",Clarika,71,Silva Screen Originals Vol. 2,,0,,,
https://play.qobuz.com/artist/267547,,London Music Works,London Music Works,100,100 Piano Classics: In the Lounge,Superhero Themes Collection,44,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,__B.O/Superhero Themes Collection - London Music Works,
https://play.qobuz.com/album/gsgleow9lvouc,,London Music Works,London Music Works,100,Music For Big Kids,Epic Themes I,39,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,,
https://play.qobuz.com/album/cerdxdm8j6d4f,,London Music Works,London Music Works,100,"Film Music of Hans Zimmer, Vol. 1",Silva Screen Originals Vol.1,44,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,,
,,"Gunild Keetman,Karl Peinkofer Percussion Ensemble",Herman Dune,56,"Orff-Schulwerk, Vol. 1: Musica Poetica",,0,,,
https://play.qobuz.com/artist/720076,,Nils Frahm,Nils Frahm,100,Late Night Tales: Friendly Fires,Old Friends New Friends,56,2x1=4 - All Encores - All Melody - Empty - Felt - Graz - Old Friends New Friends - Solo - Spaces - Wintermusik,__Autres/Nils Frahm/Old Friends New Friends,"Tripping with Nils Frahm - 784.FRA 2, Erased Tapes 20..---0 - 784.A, Solo - 785.51 FRA, Spaces - 781.3 FRN 85, Felt - D 67882"
https://play.qobuz.com/artist/46520,,Olivia Newton-John,John Williams,58,Late Night Tales: Friendly Fires,,0,,,Grease : Bande originale du film - 786.1 GRE 1
https://play.qobuz.com/album/0002894784646,785.52 RAS (En transit),"Antonio Vivaldi,Nigel Kennedy,English Chamber Orchestra",Antonio Barret,62,Vivaldi: The Four Seasons,,0,,,"Sur les traces de Antonio Vivaldi - D 03397, Antonio Vivaldi, sa vie, ses oeuvres Concerto en ut majeur RV 558 - D 54550, Sara Mingardo : Contralto - D 61832"
https://play.qobuz.com/artist/441,786.1 TOU 1 - D 07013 (En rayon - En rayon),"Marin Marais,Public Domain,Rolf Lislevand,Jordi Savall,Fabio Biondi,Pierre Hantaï",Laura Marling,72,Tous les matins du monde (Bande originale du film),,0,,,"Marin Marais - 783.MAR 12 43, Le manuscrit retrouvé - 783.MAR 13 46, Les plus grands chefs-d'oeuvre - D 70409, Les menus plaisirs de Versailles - D 47251, Pièces de caractère - 783.09 4 PIE"
https://play.qobuz.com/artist/267509,,DeVotchKa,Devotchka,100,Fox Searchlight Pictures: 20th Anniversary Album,This Night Falls Forever,39,100 Lovers - How It Ends - Little Miss Sunshine - DeVotchKa - This Night Falls Forever - Una Volta,__Autres/Devotchka/This Night Falls Forever,"100 lovers - D 38082, Curse your little heart - D 56833, How it ends - D 23484"
https://play.qobuz.com/album/0724356726055,,Aldo Ciccolini,Alice Coltrane,57,Satie oeuvres piano,,0,,,
https://play.qobuz.com/artist/31497457,,Cinematixx,Cinerama,67,Transparent Theme,,0,,,
https://play.qobuz.com/album/hhjq2nczrvcwa,,"Ludwig van Beethoven,Daniel Barenboim",Loredana Bertè,53,Beethoven: Sonate pour piano  Clair de lune  – The Works,,0,,,"Ludwig van Beethoven : Volume 2 - D 36417 V.02, Ludwig van Beethoven : Volume 1 - D 36417 V.01, Ludwig van Beethoven : Volume 3 - D 36417 V.03, Ludwig van Beethoven : Volume 5 - D 36417 V.05, Ludwig van Beethoven : Volume 4 - D 36417 V.04, Ludwig van Beethoven : Volume 6 - D 36417 V.06, Ludwig van Beethoven : Volume 7 - D 36417 V.07, Ludwig van Beethoven - D 68804"
https://play.qobuz.com/artist/24783,,"Anita O'Day,The Three Sounds",Anita Lane,67,Top 50 Romantic Jazz Singers,,0,,,"Anita O'Day - D 08648, Anita O'Day : eight classic albums - D 57603, The complete Cole Porter songbooks - D 68309, Verve remixed 3 - D 57451 V.03, Anita sings the most - D 00779"
https://play.qobuz.com/album/0002894798407,783.VIV 19 4 (En rayon),"Antonio Vivaldi,Nicholas McGegan,Scottish Chamber Orchestra",Antonio Barret,62,Vivaldi: Four Seasons,,0,,,"Sur les traces de Antonio Vivaldi - D 03397, Antonio Vivaldi, sa vie, ses oeuvres Concerto en ut majeur RV 558 - D 54550, Sara Mingardo : Contralto - D 61832"
https://play.qobuz.com/artist/1756443,,"Gabriel Fauré,Gautier Capuçon,Michel Dalberto",Clem Gabriel,72,Fauré: Complete Chamber Music for Strings,,0,,,"Gabriel Fauré - D 67898, Gabriel Fauré. 01 : oeuvres pour violoncelle et piano - 783.FAU 12 43, Kun Woo Paik plays Gabriel Fauré - D 56915, Musique pour piano de Gabriel Fauré : Volume 2 - D 38338"
https://play.qobuz.com/album/u1g9itvyyonub,,Vital Fire,Tom Fire,67,Crossing over to the Wild Side,,0,,,
https://play.qobuz.com/album/0002894796022,785.51 JOH (En rayon),"Jóhann Jóhannsson,Yuki Numata Resnick,Tarn Travers,Ben Russell,Clarice Jensen",Johann Johannsson,100,Orphée,The Mercy,40,Fordlândia - Jóhann Jóhannsson _ Orphée - Arrival - Arrival - Premier Contact - Englabörn - Mandy  Original Motion Picture Soundtrack - The Mercy - The Miners’ Hymns - The Theory of Everything,,"Englabörn - D 67097, The Theory of everything : original motion picture soundtrack - 786.1 THE 1 - Prêté, IBM 1401, a user's manual - D 53706, Mandy : original motion picture soundtrack - D 65678"
https://play.qobuz.com/album/0003020657599,,Bernard Herrmann,Bernard Herrmann,100,Kill Bill Vol. 1 Original Soundtrack (PA Version),Taxi Driver,22,Citizen Kane - Psychose - Taxi Driver - Vertigo,__B.O/Taxi Driver - Bernard Herrmann,"Citizen Kane : Film Music By Bernard Herrmann - D 11848, Sonic sci-fi : The classic themes of Bernard Herrmann and Bebe & Louis Barron - D 45280, Aldous huxley's brave new world - D 19114"
https://play.qobuz.com/artist/2924,,"Craig Armstrong,Cecilia Weston",Craig Armstrong,100,If You Should Fall,Sun On You,50,"As If To Nothing - Garry Walker- BBC Symphony Orchestra - It's Nearly Tomorrow - Nocturnes Remodelled (More Music from Glasgow, Berlin, Tokyo & London) - Nocturnes, Music For Two Pianos - Nocturnes_ Music for 2 Pianos (Deluxe) - Plunkett & Macleane - Rosa Morta - Sun On You - The Space Between Us - Un coup d'enfer",__Autres/Craig Armstrong/Sun On You,"Six feet under : bande originale de la série télévisée - D 69079 V.01, Back to mine : a chilled personal collection for after hours grooving - D 30995, Love actually : bande originale du film - 786.1 LOV 1, The space between us - D 57463, As if to nothing - D 40172, Piano works - D 41972"
https://play.qobuz.com/album/abvzbj52uw5ma,,Rachel Portman,Rachel Portman,100,Chocolat (Original Motion Picture Soundtrack),Beyond the Screen - Film Works on Piano,18,Beyond the Screen - Film Works on Piano,__Autres/Rachel Portman/Beyond the Screen - Film Works on Piano,"Smoke : Bande originale du film - D 22055, Belle : Original motion picture soundtrack - D 54766, Oliver Twist : original motion picture soundtrack : bande originale du film - D 18020, Hart's war = Mission évasion : à chacun son combat : original motion picture soundtrack : bande originale du film - D 18223"
https://play.qobuz.com/album/3700551761173,,Cliff Martinez,Cliff Martinez,100,Far Cry 4 (Original Game Soundtrack),Solaris,25,Drive - Only God Forgives - Solaris - The Knick - The Neon Demon - Too Old to Die Young [Disc1] - Too Old to Die Young [Disc2],__Autres/Cliff Martinez/Solaris,"Only god forgives : Original motion picture soundtrack - D 61553, The neon demon - D 66454, Drive : original motion picture score by Cliff Martinez - 786.1 DRI 1, The wicked die young - D 66442, Solaris : bande originale du film - D 68555, A l'origine - D 41648, The knick : Cinemax original series soundtrack - 786.1 KNI 3"
https://play.qobuz.com/album/znfq81c6qkzhb,D 65398 (En rayon),Jonny Greenwood,Jonathan Bree,57,Phantom Thread (Original Motion Picture Soundtrack),,0,,,"Inherent vice : original motion picture soundtrack - D 60984, The master - D 52046, There will be blood - D 39205, Spencer : original music - 786.1 SPE 1, Bodysong : bande originale du film - D 19269"
https://play.qobuz.com/album/0002894796022,785.51 JOH (En rayon),"Jóhann Jóhannsson,Air Lyndhurst String Orchestra,Anthony Weeden",Johann Johannsson,100,Orphée,The Mercy,40,Fordlândia - Jóhann Jóhannsson _ Orphée - Arrival - Arrival - Premier Contact - Englabörn - Mandy  Original Motion Picture Soundtrack - The Mercy - The Miners’ Hymns - The Theory of Everything,,"Englabörn - D 67097, The Theory of everything : original motion picture soundtrack - 786.1 THE 1 - Prêté, IBM 1401, a user's manual - D 53706, Mandy : original motion picture soundtrack - D 65678"
https://play.qobuz.com/album/0075992631662,,Angelo Badalamenti,Angelo Badalamenti,100,Soundtrack From Twin Peaks,Twin Peaks,56,Twin Peaks,__B.O/Twin Peaks - Angelo Badalamenti,
https://play.qobuz.com/album/0003020663082,D 46530 (En rayon),"Harry Gregson-Williams,John Powell",John Williams,63,Shrek (Original Motion Picture Score),,0,,,"X-men origins : Wolverine - D 22068, The Equalizer. 01 : original motion picture soundtrack - 786.1 EQU 1, Prince of Persia : The sands of time - D 44108, Shrek forever after - D 42821, Spy game : bande originale du film - D 30446"
