Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
,,Pep's,Alpes,60,Suivez le flo,,0,,,"Live at Pep's volume two - D 53549, Equilibre sauvage - D 39521, Pop - D 32723, Utopies dans le décor - D 37534, Au sourire de l'âme - D 37533"
https://play.qobuz.com/artist/173288,,Ycare,CAKE,67,La Somone,,0,,,"Ycare - 788.YCA 5, Au bord du monde - D 56079, Nos futurs - 788.YCA 5, Adieu je t'aime - D 65015, Des millions d'années - 788.YCA 5"
https://play.qobuz.com/album/0060252793657,D 49992 (En rayon),Skip the Use,Suki Waterhouse,67,Can Be Late,,0,,,"Skip the use - D 61270, Little armageddon - D 54466, Human disorder - D 73244, Past & future - D 02956, Love & anxiety - 782.SKI 67"
https://play.qobuz.com/album/0886444999564,788.DOR 44 - D 58322 (En rayon - En rayon),"Julien Doré,Micky Green",Julien Baker,70,LØVE,,0,,,"Des airs de liberté : hommage à Jean Ferrat ; Raphaël, Marc Lavoine, Cali... - D 43811"
https://play.qobuz.com/album/tc5f0elzd4b1a,788.CHR 62 73 (En rayon),Christine and the Queens,Mozes And The Firstborn,64,Chaleur Humaine,,0,,,"Christine and the Queens : import US - D 70079, 30 ans Victoires de la musique - 788.A 5"
https://play.qobuz.com/artist/59799,,"Nolwenn Leroy,Thomas Dutronc,Zaz,Renan Luce,Jeanne Cherhal,Tété,Rose,Mike Ibrahim,Joyce Jonathan,Christophe Maé",Julien Clerc,56,Le chemin de pierre,,0,,,"Nolwenn Leroy - 788.LER 5, Histoires naturelles - D 66028"
https://play.qobuz.com/album/3610150225801,D 52789 (En rayon),Joyce Jonathan,Jonathan Wilson,69,Sur Mes Gardes,,0,,,"Les enfants du Top 50 - 788.A 5, Ca, c'est vraiment nous : Téléphone tribute - 788.A 5, Caractère - D 56979, On - D 49884"
https://play.qobuz.com/album/0060075313146,,Zazie,"Izzie, Jairos & Alishya",80,Zest Of,,0,,,"Za7ie : 14/49 - D 49094, Za7ie 49/49 - 788.ZAZ"
https://play.qobuz.com/album/0060253732513,788.ZAZ 5 - Prêté - D 63192 (Retour prévu le : 06/06/2026 - En rayon),Zazie,"Izzie, Jairos & Alishya",80,La Zizanie,,0,,,"Za7ie : 14/49 - D 49094, Za7ie 49/49 - 788.ZAZ"
https://play.qobuz.com/artist/58574,,Zazie,"Izzie, Jairos & Alishya",80,Zen,,0,,,Za7ie 49/49 - 788.ZAZ
https://play.qobuz.com/album/5099748976628,D 60946 (En rayon),"Suprême NTM,Lord Kossity",Suprême NTM,100,Suprême NTM,L'intégrale,36,L'intégrale,__Autres/Suprême NTM/L'intégrale,"Suprême NTM live : du ""Monde de demain"" à ""Pose ton gun"" - D 54256, Anthologie : 30 ans de Suprême NTM - 781.5 NTM, Rap club 2019 - 781.5 A, Boss vs IV my people : Round 1 - D 09380"
https://play.qobuz.com/artist/42955,,IAM,Iam,100,Anthologie IAM (1991-2004),L'école Du Micro D'argent (Edition Collector),41,L'école Du Micro D'argent (Edition Collector) - Ombre Est Lumière,__Autres/Iam/L'école Du Micro D'argent (Edition Collector),"... IAM - D 49517, De la planète Mars - 781.5 IAM - Prêté"
https://play.qobuz.com/artist/59796,,MC Solaar,MC Solaar,100,"Magnum 567 (Pack contenant 3 albums de MC Solaar : Cinquième As, Mach 6 et Chapitre 7)",Cinquième As,36,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,__Autres/MC Solaar/Cinquième As,"MC Solaar - D 37954 - Prêté, Chapitre 7 - D 50600 - Prêté, Cinquième as - D 45708 - Prêté, Jimmy Jay présente : les cool sessions - D 07089 V.01, Hit machine groove - D 14874, Géopoétique - D 63704 - Prêté"
https://play.qobuz.com/album/3700368423882,,MC Solaar,MC Solaar,100,Mach 6,Chapitre 7,38,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,__Autres/MC Solaar/Chapitre 7,"Cinquième as - D 45708 - Prêté, Jimmy Jay présente : les cool sessions - D 07089 V.01, Hit machine groove - D 14874, Géopoétique - D 63704 - Prêté"
https://play.qobuz.com/album/5060107721135,,Charlotte Gainsbourg,Charlotte Gainsbourg,100,5:55 (Nouvelle Edition),Hey Joe,18,Hey Joe - IRM - Rest - Stage Whisper,__Autres/Charlotte Gainsbourg/Hey Joe,
https://play.qobuz.com/artist/112890,782.FLO 322 - D 56899 (En rayon - En rayon),Florence + The Machine,Florent Marchet,74,Between Two Lungs,,0,,,"Moshi moshi singles club . 02 : 2008-2010 - D 08915, Jennifer's body - D 41706, Cruella - 786.1 CRU 1, How big, how blue, how beautiful - D 54215, Everybody scream - 782.FLO 24 - Prêté"
https://play.qobuz.com/artist/59741,,Emilie Simon,Emilie Zoé,73,Versions,,0,,,
https://play.qobuz.com/album/0060253765922,788.SIM 44 - D 65143 (En rayon - En rayon),Emilie Simon,Emilie Zoé,73,Mue,,0,,,"Emilie Simon - D 65044, Bref : Emilie Simon, Ludovic Dessaint, TorToZa, The Name ... , compositeurs ; Kyan Khojandi, réalisateur & compositeur - D 70431, ES - 788.SIM 62 73"
https://play.qobuz.com/album/p1w1mbj0oxgvc,D 17962 (En rayon),Emilie Simon,Emilie Zoé,73,Franky Knight,,0,,,"Emilie Simon - D 65044, Bref : Emilie Simon, Ludovic Dessaint, TorToZa, The Name ... , compositeurs ; Kyan Khojandi, réalisateur & compositeur - D 70431, ES - 788.SIM 62 73"
https://play.qobuz.com/artist/53368,D 51100 (En rayon),AaRON,Aaron,100,U-Turn (Lili),We Cut The Night,27,Anatomy Of Light - Artificial Animals Riding On Neverland - Birds In The Storm - Waves From The Road [Live] - We Cut The Night,__Autres/Aaron/We Cut The Night,"We cut the night - D 56231, Waves from the road : live - D 56229, Anatomy of light - D 67396, Birds in the storm - D 38170"
https://play.qobuz.com/album/0060075300853,D 36713 (En rayon),Superbus,Superbus,100,Wow,OK KO,25,OK KO,__Autres/Superbus/OK KO,"Sunset : édition limitée - D 54936, Lova lova - D 32168, Aéromusical - D 47150, OK KO - 788.SUP 62 67, Sixtape - D 62893, Pop'n'gum - D 51562"
https://play.qobuz.com/album/r9gahorpr8z3a,D 54936 (En rayon),Superbus,Superbus,100,Pop'n'Gum,OK KO,29,OK KO,__Autres/Superbus/OK KO,"Lova lova - D 32168, Aéromusical - D 47150, Wow - D 36713, OK KO - 788.SUP 62 67, Pop'n'gum - D 51562"
https://play.qobuz.com/artist/147638,,Joris Delacroix,Joris Delacroix,100,Maeva's,Room With View,29,Night Visions - Room With View,__Autres/Joris Delacroix/Room With View,
https://play.qobuz.com/artist/147638,,"Joris Delacroix,Greg Delon",Joris Delacroix,100,Dumb & Clyde,Room With View,17,Night Visions - Room With View,__Autres/Joris Delacroix/Room With View,
https://play.qobuz.com/album/r1ktq079vstic,784.VIT 412 - Prêté - D 52548 (Retour prévu le : 27/05/2026 - En rayon),Vitalic,Vitalic,100,Flashmob,OK Cowboy,24,Dissidænce Episode 2 - OK Cowboy - Rave Age - V Live,__Autres/Vitalic/OK Cowboy,"Live - D 69709, Dj Kicks - D 56643, Rave age - D 49111, Dissidaence episode 1 - 784.VIT 412"
,D 48171 (En rayon),Mr. Oizo,Novo Amor,62,Flat Beat,,0,,,"Everybody hertz - 784.AIR, Ed Rec, vol. X : 2003-2013 : celebrating ten years of Ed Bangin' - D 38061 V.X, Ed Rec Vol.3 - D 38061 V.03, Ed Rec 100 - D 38061 V.100, Ed Rec Vol.2 - D 38061 V.02"
,,Etienne de Crécy ,Étienne Charry,73,Super Discount,,0,,,
https://play.qobuz.com/artist/40894,D 13943 V.03 (En rayon),"Etienne de Crécy ,Madeline Follin",Étienne Charry,73,You (feat. Madeline Follin),,0,,,"My contribution to the global warming - D 57695, Super discount 2 - D 13943 V.02, Nova tunes 06 - D 60993 V.06, Tempovision - D 60715"
https://play.qobuz.com/album/0060253729206,,Kavinsky,Kavinsky,100,OutRun,Reborn,50,Nightcall - Reborn - Zenith,__Autres/Kavinsky/Reborn,"Outrun : edition collector - 784.KAV 51 - Prêté, Reborn - 784.KAV 51"
https://play.qobuz.com/artist/65661,D 49473 (En rayon),Yuksek,YSE,67,Living On The Edge Of Time,,0,,,"Partyfine, vol. 1 - D 66521 V.01, Away from the sea - D 49682, Nous horizon - D 56497, Bazar kumpanya : Didier Labbé quartet invite Izzet Kizil, Recep Sirplioglu, Cem Varveren - D 47622"
https://play.qobuz.com/artist/65661,,Yuksek,YSE,67,Away From The Sea (Version Japonaise),,0,,,"Partyfine, vol. 1 - D 66521 V.01, Living on the edge of time - D 49473, Away from the sea - D 49682, Nous horizon - D 56497, Bazar kumpanya : Didier Labbé quartet invite Izzet Kizil, Recep Sirplioglu, Cem Varveren - D 47622"
https://play.qobuz.com/album/3661585940371,,The Toxic Avenger,The Avener,74,Angst,,0,,,
https://play.qobuz.com/album/3596972011597,,Pony Pony Run Run,Pony Pony Run Run,100,Hey You,You Need Pony Pony Run Run,36,Pony Pony Run Run - Voyage Voyage - You Need Pony Pony Run Run,__Autres/Pony Pony Run Run/You Need Pony Pony Run Run,"Pony pony run run - D 61290, Lyle Lovett and his large Band - D 05820"
https://play.qobuz.com/album/3700426906241,,Housse de Racket,Taraf de Haïdouks,61,Forty Love (Bonus Remix Edition),,0,,,"The tourist - D 59001, Alesia - D 36920, Forty love - D 37046"
https://play.qobuz.com/album/k50neo1dgyc7b,D 65483 (En rayon),The Shoes,The Shoes,100,Time to Dance,Crack My Bones,30,Chemicals - Crack My Bones,__Autres/The Shoes/Crack My Bones,"The shoes of the fisherman = les souliers de Saint Pierre : original motion picture score - D 10425, So long and thanks for all the shoes - D 15936, The Red shoes - D 56534, Shoes of the fisherman's wife - D 16942"
https://play.qobuz.com/album/0094639786756,D 24892 (En rayon),Yelle,Cibelle,67,Pop-Up,,0,,,"Safari disco club - D 47328, Complètement fou - D 51564, L'Ere du Verseau - D 71033"
https://play.qobuz.com/album/5033197061528,D 19232 (En rayon),Alex Gopher,Alex Hepburn,70,You My Baby And I,,0,,,"Alex Gopher - D 24910, Super discount 2 - D 13943 V.02, Erik Truffaz revisité - D 57517, Freezone 6 : fourth person singular - D 10899 V.06"
https://play.qobuz.com/album/5060093313543,,Lush Life,Billie Eilish,64,Anthems: Holiday,,0,,,"Lush life - D 69377, Lush life : The music of Billy Strayhorn - D 60883, Montreux one - D 53492, New Picture - D 03517"
https://play.qobuz.com/artist/53136,781.42 CER 1 - D 03405 (En rayon - En rayon),Cerrone,CERRONE,100,"Cerrone I, II, III",CERRONE - The Best Of Cerrone (2LP),47,CERRONE - The Best Of Cerrone (2LP),__Autres/CERRONE/CERRONE - The Best Of Cerrone (2LP),"Cerrone by Cerrone - 781.42 CER 1, Cerrone by Bob Sinclar - 784.CER 3, Disco symphony - 781.42 CER 1 - Prêté, Hold-up - D 57042, Climax : original motion picture soundtrack - 786.1 CLI 1"
https://play.qobuz.com/album/zan8sd9044yib,,Jeremie Whistler,Emily Jane White,62,Flakes,,0,,,
https://play.qobuz.com/album/3663729042330,,Victorine,Corine,80,La rentrée - EP,,0,,,
https://play.qobuz.com/album/0060252788640,D 65469 (En rayon),Izïa,"Izzie, Jairos & Alishya",67,So Much Trouble,,0,,,"Izia - D 67467, La vague - D 54880"
https://play.qobuz.com/album/0060254722890,D 54880 (En rayon),Izïa,"Izzie, Jairos & Alishya",67,La vague,,0,,,
https://play.qobuz.com/album/i4yfz1osvu0cc,D 70644 (En rayon),Thomas Dutronc,Jacques Dutronc,69,Comme Un Manouche Sans Guitare,,0,,,"Éternels jusqu'à demain - 788.DUT 44, Dutronc & Dutronc : la tournée générale - 788.DUT 5, Dutronc & Dutronc - 788.DUT 5"
https://play.qobuz.com/album/5099750170823,D 33534 (En rayon),Sanseverino,Arne Vinzon,64,Le Tango Des Gens,,0,,,"Sanseverino & Tangomotàn - 788.SAN 69 97, Aux Bouffes du Nord - D 62164, Des airs de liberté : hommage à Jean Ferrat ; Raphaël, Marc Lavoine, Cali... - D 43811"
https://play.qobuz.com/album/oiylcroyd813b,D 30726 (En rayon),Sinsémilia,Smilla,62,Debout Les Yeux Ouverts,,0,,,"En quête de sens - D 47333, Première récolte - D 55460, Sinsé part en live... - D 20434 - Prêté"
https://play.qobuz.com/album/0886445861457,D 29470 - Prêté (Retour prévu le : 05/06/2026),Tryo,Toro,75,Mamagubida,,0,,,Tibet libre - D 08026
https://play.qobuz.com/album/zl0k0kmilnbdb,,Kaolin,Aline,73,Mélanger les couleurs,,0,,,"Kaolin - D 30149, Ketchup & Marmalade : vol.1 - D 16784 V.01, Mélanger les couleurs - D 30798, Bienvenue dans les criques - D 27820, Allez - D 17383, De retour dans nos criques - D 17368, Women's world voices - D 35017 V.01"
https://play.qobuz.com/album/0886444999748,,"Madeon,Kyan",Demon,73,Adventure (Deluxe),,0,,,Adventure - D 56675
https://play.qobuz.com/album/0886444999748,,"Madeon,Dan Smith",Demon,73,Adventure (Deluxe),,0,,,Adventure - D 56675
https://play.qobuz.com/album/5413356732771,784.GAR 41 - D 14400 (En rayon - En rayon),Laurent Garnier,Laurent Aknin,79,Unreasonable Behaviour,,0,,,
,,"Laurent Garnier feat. The L.B.S. Crew,Laurent Garnier,The L.B.S Crew",Nive Nielsen & The Deer Children,52,Timeless,,0,,,
https://play.qobuz.com/album/0825646397471,,Gesaffelstein,Eskelina Svanstein,58,Aleph,,0,,,"Pursuit - LA004337, Hyperion - 784.GES 412"
https://play.qobuz.com/album/3700551725687,,Gesaffelstein,Eskelina Svanstein,58,Bromance #1 - Single,,0,,,"Pursuit - LA004337, Aleph - 784.GES 51, Hyperion - 784.GES 412"
https://play.qobuz.com/artist/304914,,Brodinski,Brodka,67,Arnold Classics,,0,,,Brava - D 45097
https://play.qobuz.com/album/di4gutusqn61a,,Faul,Flaural,73,Happy Endings,,0,,,
https://play.qobuz.com/album/owwcyxtg2mgwc,,Faul,Flaural,73,Something New,,0,,,
https://play.qobuz.com/artist/380167,,"Dimitri From Paris,Dj Rocca Present Erodiscotique",Paris Combo,55,Horse Meat Disco III,,0,,,"Metamorphose : Messe pour le temps présent - D 11275, Psyché rock sessions - D 11163, Mixmag presents : Monsieur Dimitri's de-luxe house of funk - D 08114, Sacrebleu - D 13155, Basenotic's guest list - D 10925, Pink panther's penthouse party - D 38403"
https://play.qobuz.com/album/3770002146026,,Dimie Cat,Cat Clyde,67,Glam! - Single,,0,,,
https://play.qobuz.com/album/one302alh67kc,D 33111 (En rayon),Avi Buffalo,Avi Buffalo,100,Avi Buffalo,At Best Cuckold,38,At Best Cuckold - Panegyric - Remember Last Time,__Autres/Avi Buffalo/At Best Cuckold,At best cuckold - D 58980
