Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
"Erik Satie,Roland Pöntinen",Erik Satie,100,Satie: Piano Music,Piano Works,50,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",/mnt/m/musiques/__Autres/Erik Satie/Piano Works
"Fyfe,Iskra Strings",Fyfe,100,Fyfe & Iskra Strings EP 1,The Space Between,32,Control - Extended Play - Interiority - The Space Between,/mnt/m/musiques/__Autres/Fyfe/The Space Between
Víg Mihály,Raoul Vignal,55,Filmzenék Tarr Béla Filmjeihez (Underground Katalógus),,0,,
"Franz Schubert,Trio Wanderer",Ezy Schubert,77,Schubert: Piano Trios Nos. 1 & 2; Notturno; Sonatensatz,,0,,
London Piano Players,London Music Works,58,Emotional Movie Themes on the Piano,,0,,
Philip Glass,Glass Philip,100,The Truman Show (Music from the Motion Picture of Peter Weir),Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),31,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris)
Anne Sophie Versnaeyen,Anne-Sophie Versnaeyen,100,Lovecraft,Soul Stories (Emotional Orchestral Drama Tracks),29,Soul Stories (Emotional Orchestral Drama Tracks) - Soul Stories 2 (Emotional Orchestral Drama Tracks) - Soul Stories 3 - Emotional Orchestral Drama Tracks,/mnt/m/musiques/__Autres/Anne-Sophie Versnaeyen/Soul Stories (Emotional Orchestral Drama Tracks)
Burkhard Dallwitz,Tyler Burkhart,58,The Truman Show (Music from the Motion Picture of Peter Weir),,0,,
"Rick Clark,London Music Works",Clarika,71,Silva Screen Originals Vol. 2,,0,,
London Music Works,London Music Works,100,100 Piano Classics: In the Lounge,Superhero Themes Collection,44,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,/mnt/m/musiques/__B.O/Superhero Themes Collection - London Music Works
London Music Works,London Music Works,100,Music For Big Kids,Epic Themes I,39,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,
London Music Works,London Music Works,100,"Film Music of Hans Zimmer, Vol. 1",Silva Screen Originals Vol.1,44,Movie Themes Collection - Superhero Themes Collection - Epic Themes I - Epic Themes II - Epic Themes III - Epic Themes IV - Silva Screen Originals Vol.1 - Silva Screen Originals Vol.2 - Silva Screen Originals Vol.3 - Silva Screen Originals Vol.4 - Silva Screen Originals Vol.5 - Silva Screen Originals Vol.6,
"Gunild Keetman,Karl Peinkofer Percussion Ensemble",Herman Dune,56,"Orff-Schulwerk, Vol. 1: Musica Poetica",,0,,
Nils Frahm,Nils Frahm,100,Late Night Tales: Friendly Fires,Old Friends New Friends,56,2x1=4 - All Encores - All Melody - Empty - Felt - Graz - Old Friends New Friends - Solo - Spaces - Wintermusik,/mnt/m/musiques/__Autres/Nils Frahm/Old Friends New Friends
Olivia Newton-John,John Williams,58,Late Night Tales: Friendly Fires,,0,,
"Antonio Vivaldi,Nigel Kennedy,English Chamber Orchestra",Antonio Barret,62,Vivaldi: The Four Seasons,,0,,
"Marin Marais,Public Domain,Rolf Lislevand,Jordi Savall,Fabio Biondi,Pierre Hantaï",Laura Marling,72,Tous les matins du monde (Bande originale du film),,0,,
DeVotchKa,Devotchka,100,Fox Searchlight Pictures: 20th Anniversary Album,This Night Falls Forever,39,100 Lovers - How It Ends - Little Miss Sunshine - DeVotchKa - This Night Falls Forever - Una Volta,/mnt/m/musiques/__Autres/Devotchka/This Night Falls Forever
Aldo Ciccolini,Alice Coltrane,57,Satie oeuvres piano,,0,,
Cinematixx,Cinerama,67,Transparent Theme,,0,,
"Ludwig van Beethoven,Daniel Barenboim",Loredana Bertè,53,Beethoven: Sonate pour piano  Clair de lune  – The Works,,0,,
"Anita O'Day,The Three Sounds",Anita Lane,67,Top 50 Romantic Jazz Singers,,0,,
"Antonio Vivaldi,Nicholas McGegan,Scottish Chamber Orchestra",Antonio Barret,62,Vivaldi: Four Seasons,,0,,
"Gabriel Fauré,Gautier Capuçon,Michel Dalberto",Clem Gabriel,72,Fauré: Complete Chamber Music for Strings,,0,,
Vital Fire,Tom Fire,67,Crossing over to the Wild Side,,0,,
"Jóhann Jóhannsson,Yuki Numata Resnick,Tarn Travers,Ben Russell,Clarice Jensen",Johann Johannsson,100,Orphée,The Mercy,40,Fordlândia - Jóhann Jóhannsson _ Orphée - Arrival - Arrival - Premier Contact - Englabörn - Mandy  Original Motion Picture Soundtrack - The Mercy - The Miners’ Hymns - The Theory of Everything,
Bernard Herrmann,Bernard Herrmann,100,Kill Bill Vol. 1 Original Soundtrack (PA Version),Taxi Driver,22,Citizen Kane - Psychose - Taxi Driver - Vertigo,/mnt/m/musiques/__B.O/Taxi Driver - Bernard Herrmann
