Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
"Dmitri Shostakovich,Russian State Symphony Orchestra,Dmitry Yablonsky",Danilo Stankovic,63,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,,0,,
"Wolfgang Amadeus Mozart,Howard Shelley,London Mozart Players",Wolfgang Tillmans,60,"Mozart: Piano Concertos, Vol. 6",,0,,
"Jean-Philippe Rameau,Sabine Devieilhe,Aimery Lefèvre,Le Jeune Choeur de Paris,Alexis Kossenko,Les Ambassadeurs",Philippe Cohen Solal,65,Rameau: Le Grand Théâtre de l'amour,,0,,
Tom Kerstens,Wim Mertens,70,¡danza! The Music of Dance,,0,,
James Supercave,James Spiteri,71,Better Strange,,0,,
Souad Massi,Maissiat,63,Deb,,0,,
"Gernot Bronsert,Sascha Ring,Sebastian Szary,Kai Schumacher",George Bruns,59,Beauty In Simplicity,,0,,
"Jean Sibelius,Jian Wang,Göran Söllscher",Eliane Elias,64,Reverie,,0,,
"Frédéric Chopin,Daniil Trifonov",Electrick Children,61,"Chopin: Fantaisie-Impromptu In C Sharp Minor, Op. 66",,0,,
Martin Roth,Pat Martino,73,"Le café abstrait by Raphaël Marionneau, Vol. 12 (Deluxe Edition)",,0,,
Najat Al Saghira,Nadia Sirota,57,Eyoun El Alb,,0,,
Sofiane Pamart,Sofiane Pamart,100,PLANET,Planet Gold,71,LETTER - MOVIE - NOCHE deluxe - Planet Gold,/mnt/m/musiques/__Autres/Sofiane Pamart/Planet Gold
"Johann Sebastian Bach,Dustin O'Halloran",Belle & Sebastian,61,Red Hot + Bach,,0,,
Elina Duni,Elias Dris,70,Partir,,0,,
"Francisco Tárrega,Sharon Isbin",Francis Lai,64,Alma Española,,0,,
Philip Glass,Glass Philip,100,Etudes for Piano Vol 1 No. 1-10,Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),36,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris)
"Philip Glass,Bruce Brubaker",Glass Philip,100,Hope Street Tunnel Blues: Music for Piano By Philip Glass and Alvin Curran,Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),46,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris)
"Philip Glass,Angèle Dubeau,La Pietà",Glass Philip,100,Philip Glass: Portrait,Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),53,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris)
"Joohyun Park,Michael Nyman",Zoopark,63,Departure for Solo Piano (From the Original Score to  Gattaca ),,0,,
dEUS,dEUS,100,Selected Songs 1994 - 2014,How To Replace It - 2023,39,Following Sea - How To Replace It - 2023 - Keep You Close - Pocket Revolution - The Ideal Crash - Vantage Point,/mnt/m/musiques/__Autres/dEUS/How To Replace It - 2023
Roberto Fonseca,Robbie Robertson,65,ABUC,,0,,
Quiet Village,Kurt Vile,64,Silent Movie,,0,,
"F.S.Blumm,Nils Frahm",Blu Samu,59,Tag Eins Tag Zwei,,0,,
"Thomas Bangalter,Guy-Manuel de Homem-Christo,Julian Casablancas,Chilly Gonzales",Thomas Bangalter,100,Other People's Pieces,Thomas Bangalter_ Mythologies,44,DAAAAAALÍ! - Thomas Bangalter_ Mythologies,/mnt/m/musiques/__Autres/Thomas Bangalter/Thomas Bangalter_ Mythologies
Wouter Dewit,Destroyer,57,Still,,0,,
Gaby Hernandez,Fernandel,61,Spirit Reflection,,0,,
The Secret Sea,Scarlett Rose,67,Golden Brown,,0,,
"Angèle Dubeau,La Pietà",Angèle Dubeau,100,Portrait: Max Richter,"A Time for Us (Silence, on joue!)",42,"A Time for Us (Silence, on joue!) - Silence On Joue - Take 2","/mnt/m/musiques/__Autres/Angèle Dubeau/A Time for Us (Silence, on joue!)"
"Marc Sarrazy,Laurent Rochelle",Eric Serra,64,Chanson pour l'oreille gauche,,0,,
Fabiano do Nascimento,Adriano Celentano,58,Tempo dos Mestres,,0,,
"David Christiansen,Stimming,Bernd Ruf,Brandenburgisches Staatsorchester",Susan Christie,62,November Morning,,0,,
Les Hommes,Les Charlots,64,The Sinner,,0,,
Keith Kenniff,Edith Piaf,61,The Last Survivor,,0,,
Hushed,Houses,67,In Dreams,,0,,
Frank Barcellini,Lilian Barbe,64,Jacques Tati Soundtracks (Remastered),,0,,
Michael Giacchino,Michael Giacchino,100,Up! Original Soundtrack,Star Trek Beyond,37,La Haut - Mission - Impossible (Ghost Protocol) - Star Trek Beyond - Star Trek Into Darkness - Star Wars - Rogue One A Star Wars Story - The Batman - The Batman (2022) - les indestructibles,/mnt/m/musiques/__B.O/Star Trek Beyond - Michael Giacchino
Joep Beving,Joe Bel,67,Ala,,0,,
"Max Richter,Daniel Hope,Raphael Alpermann,Konzerthaus Kammerorchester Berlin,Andre de Ridder",Max Richter,100,"Recomposed By Max Richter: Vivaldi, The Four Seasons","Recomposed By Max Richter_ Vivaldi,",79,"Disconnect - My Brilliant Friend - My Brilliant Friend, Season 3 - Out Of The Dark Room [Disc1] - Out Of The Dark Room [Disc2] - Recomposed By Max Richter_ Vivaldi, - Sarah's Key - Sleep - Taboo - The Blue Notebooks - The Leftovers - Voyager - Essential Max Richter","/mnt/m/musiques/__Autres/Max Richter/Recomposed By Max Richter_ Vivaldi,"
Joep Beving,Joe Bel,67,Prehension,,0,,
"Ludovico Einaudi,Amsterdam Sinfonietta",Ludovico Einaudi,100,Elements,Le Onde,40,"Divenire - I Giorni - In A Time Lapse - Le Onde - Seven Days Walking, Day Five - Seven Days Walking, Day Four - Seven Days Walking, Day One - Seven Days Walking, Day Seven - Seven Days Walking, Day Six - Seven Days Walking, Day Three - Seven Days Walking, Day Two - Taranta Project - The Royal Albert Hall Concert [Disc 1] - The Royal Albert Hall Concert [Disc 2] - The Summer Portraits - Una Mattina - Underwater",/mnt/m/musiques/__Autres/Ludovico Einaudi/Le Onde
Ólafur Arnalds,Ólafur Arnalds,100,Living Room Songs,Island Songs,55,And They Have Escaped The Weight Of Darkness - Broadchurch- Music From The Original TV Series - Broadchurch- The Final Chapter - Eulogy For Evolution - For Now I Am Winter - Island Songs - The Chopin Project - re-member - some kind of peace,/mnt/m/musiques/__Autres/Ólafur Arnalds/Island Songs
Yann Tiersen,Yann Tiersen,100,The Lighthouse - Everything's Calm,Tabarly- Original Motion Picture Soundtrack,38,"(Tout Est Calme) - ALL - Bästard, Tiersen - C'était Ici [Live] [Disc 1] - C'était Ici [Live] [Disc 2] - Dust Lane - EUSA - Good Bye Lenin! Original Motion Picture Soundtrack - Kerber - L' Absente - La valse des monstres - Le Fabuleux Destin D'Amelie Poulain - Le Phare - Les Retrouvailles - Portrait [Disc 1] - Portrait [Disc 2] - Rue des cascades - Skyline - Tabarly- Original Motion Picture Soundtrack - Yann Tiersen & Shannon Wright - ∞ (Infinity)",/mnt/m/musiques/__Autres/Yann Tiersen/Tabarly- Original Motion Picture Soundtrack
Joep Beving,Joe Bel,67,Solipsism,,0,,
"Woodkid,Louis Garrel",Woodkid,100,L'aérogramme de Los Angeles,The Golden Age,44,The Golden Age,/mnt/m/musiques/__Autres/Woodkid/The Golden Age
Keith Jarrett,Keith Jarrett,100,Sun Bear Concerts,"The Köln Concert (Live at the Opera, Köln, 1975)",55,"The Köln Concert (Live at the Opera, Köln, 1975)","/mnt/m/musiques/__Autres/Keith Jarrett/The Köln Concert (Live at the Opera, Köln, 1975)"
"Murcof,Vanessa Wagner",MARO,60,Statea,,0,,
"Kiasmos,Lubomyr Melnyk",Kimberose,62,Looped,,0,,
Bremer/McCoy,Joy Forever,61,Ordet,,0,,
"Aphex Twin,Daniel Hope,Jacques Ammon,Christoph Anacker,Jane Berthe,Kaiser Quartett",Aphex Twin,100,For Seasons,Chosen Lords,43,"...I Care Because You Do - 51-13- Aphex Singles Collection - Chosen Lords - Classics - Come To Daddy - Computer Controlled Acoustic Instruments Pt2 - Drukqs [Disc 1] - Drukqs [Disc 2] - FabricLive.24 - HelpAphexTwin4.0 - Richard D. James Album - SYRO - Selected Ambient Works 85-92 - Selected Ambient Works, Vol. 2 [Disc 1] - Selected Ambient Works, Vol. 2 [Disc 2] - Windowlicker",/mnt/m/musiques/__Autres/Aphex Twin/Chosen Lords
Lubomyr Melnyk,MOTEL CLUB,58,Erased Tapes Collection VI,,0,,
Jozef Van Wissem,Vance Joy,56,New Lute Music for Film,,0,,
"Michael Nyman,Valentina Lisitsa",Michael Nyman,100,Chasing Pianos - The Piano Music Of Michael Nyman,The Piano Sings,42,Drowning By Numbers - Gattaca - McQueen - The Glare - The Piano - The Piano Sings,/mnt/m/musiques/__B.O/The Piano Sings - Michael Nyman
"Jeroen van Veen,Philip Glass",Yann Tiersen,59,Glass: Solo Piano Music,,0,,
Cigarettes After Sex,Cigarettes After Sex,100,EP I.,Affection,20,Affection - Cigarettes After Sex - Crush - Cry - EP.1 - X's,/mnt/m/musiques/__Autres/Cigarettes After Sex/Affection
"Maurice Ravel,Sviatoslav Richter",Marie Reno,70,Ravel & Rachmaninov: Preludes,,0,,
Martin Kohlstedt,George Martin,62,Nacht,,0,,
GoGo Penguin,GoGo Penguin,100,Fanfares,Necessary Fictions,31,A Humdrum Star - GGP-RMX - GoGo Penguin - Man Made Object - Necessary Fictions - v2.0 (Deluxe Edition),/mnt/m/musiques/__Autres/GoGo Penguin/Necessary Fictions
TSU!,Sun,67,TSU! - Prince of Gumbay,,0,,
The Dining Rooms,The Spinners,64,Tre,,0,,
Japhlet Bire Attias,The Artist Ren,61,Japhlet Bire Attias,,0,,
"Ilhan Ersahin,Erik Truffaz",Ilya Beshevli,62,Istanbul Sessions (feat. Erik Truffaz),,0,,
Penguin Cafe Orchestra,Penguin Cafe Orchestra,100,Music From The Penguin Cafe,Union Cafe,49,"A History [Disc 1] - A History [Disc 2] - A History [Disc 3] - A History [Disc 4] - Preludes, Airs And Yodels (A Penguin Cafe Primer) - Union Cafe - When In Rome... [Live]",/mnt/m/musiques/__Autres/Penguin Cafe Orchestra/Union Cafe
Gidon Kremer,Peter Gordon,67,De Profundis,,0,,
Emancipator,Machito,67,Baralku,,0,,
S+C+A+R+R,Mars Argo,56,You're the One (From  I Lost My Body ),,0,,
Mike Higbee,Michel Berger,58,Secret Life,,0,,
Vincent Gallo,Vincent Liben,69,So Sad,,0,,
Neil Young,Neil Young,100,Dead Man: A Film By Jim Jarmusch (Music From And Inspired By The Motion Picture),Essentials,20,Essentials,/mnt/m/musiques/__Autres/Neil Young/Essentials
Odyssey,DyE,60,The Return,,0,,
Tim Dup,Dub Inc,57,Vers les ourses polaires,,0,,
"Chet Baker,Duke Jordan",Bakermat,67,No Problem,,0,,
Jesca Hoop,Loopa Scava,67,STONECHILD,,0,,
Mud Flow,Mud Flow,100,Best Songs,A Life On Standby,37,A Life On Standby - Re-Act - Ryunosuke,/mnt/m/musiques/__Autres/Mud Flow/A Life On Standby
"Franz Schubert,Marcos Madrigal,Teresita Junco",Ezy Schubert,77,Concierto a 8 Manos,,0,,
"Pyotr Ilyich Tchaikovsky,Antoni Wit,Polish National Radio Symphony Orchestra",Chaos Chaos,51,Tchaikovsky: Symphony No. 5 & The Storm,,0,,
Benjamin Oleinikov,Benjamin Clementine,70,Ballade En Russie,,0,,
"Franz Schubert,Margherita Malagoli,Roberto Guerra",Ezy Schubert,77,"The Essential Classical Masterpieces, Schubert Greatest Compositions",,0,,
"Frédéric Chopin,Elfrun Gabriel",Electrick Children,61,"Frederic Chopin: Piano Works - 24 Preludes, Op. 28 / Nocturnes / Waltzes (E. Gabriel)",,0,,
George Walker,George Ka,73,George Walker in Recital,,0,,
Theo Lawrence and The Hearts,Ax and the Hatchetmen,61,Homemade Lemonade (Deluxe Version),,0,,
Stavros Lantsias,Piano Fantasia,60,Epistrofi (Return),,0,,
"Camille Saint-Saëns,Slovak Radio Symphony Orchestra,Keith Clark",Camille Jansen,73,Saint-Saens: Symphony No. 3 / Piano Concerto No. 2,,0,,
"Camille Saint-Saëns,Orchestre Symphonique de Montréal,Andrew Wan,Kent Nagano",Camille Jansen,73,Danse Macabre,,0,,
"Camille Saint-Saëns,Yo-Yo Ma,Kathryn Stott",Camille Jansen,73,Songs from the Arc of Life,,0,,
Kikagaku Moyo,Kaz Moon,57,House in the Tall Grass,,0,,
Jun Miyake,Jun Miyake,100,Lost Memory Theatre act-2,Innocent Bossa in the mirror,45,Innocent Bossa in the mirror - Stolen from Strangers,/mnt/m/musiques/__Autres/Jun Miyake/Innocent Bossa in the mirror
"Tonbruket,Ane Brun",Antonio Barret,61,Forevergreens,,0,,
"Beth Gibbons,Rustin Man",Beth Gibbons & Rustin Man,69,Out Of Season,,0,,
Beth Gibbons,Beth Gibbons & Rustin Man,69,Feminissima,,0,,
Portishead,Radiohead,63,Dummy (Non UK Version),,0,,
The National,The National,100,Exile Vilify (From the Game Portal 2),High Violet,43,Boxer - Cherry Tree - First Two Pages of Frankenstein - High Violet - I Am Easy To Find - Laugh Track - Sad Songs for Dirty Lovers - Sleep Well Beast - Trouble Will Find Me - Your Mind Is Not Your Friend,/mnt/m/musiques/__Autres/The National/High Violet
Kevin Graham,Drama King,64,Sierra,,0,,
Kevin Graham,Drama King,64,Valkyrie,,0,,
Kimya Dawson,Willy Mason,61,Remember That I Love You,,0,,
"Wim Mertens,Kai Schumacher",Wim Mertens,100,Beauty In Simplicity,Maximizing the Audience,47,Charaktersketch - Close Cover - Inescapable - Integer Valor - Jardin clos - Jérémiades - Maximizing the Audience - Motives for Writing - Stratégie de la rupture - That Which Is Not - The Belly of an Architect,/mnt/m/musiques/__Autres/Wim Mertens/Maximizing the Audience
"Camille Saint-Saëns,Stéphane Tétreault,Fabien Gabel,Orchestre Symphonique De Québec",Camille Jansen,73,Saint-Saëns & Tchaikovsky,,0,,
"Camille Saint-Saëns,Isata Kanneh-Mason,Konya Kanneh-Mason,Braimah Kanneh-Mason,Ayla Sahin,Timothy Ridout,Sheku Kanneh-Mason,Adam Walker,Alasdair Malloy",Camille Jansen,73,Saint-Saëns: Carnival of the Animals: Aquarium,,0,,
Al Bowlly,Al Bowlly,100,Goodnight Sweetheart,Ten songs for you,38,Ten songs for you,/mnt/m/musiques/__Autres/Al Bowlly/Ten songs for you
Dorothy Ashby,Rockabye Baby!,54,Dorothy Ashby,,0,,
"Frédéric Chopin,Arthur Rubinstein",Electrick Children,61,Piano Greatest Hits,,0,,
Joseph Schiano di Lombo,Sacha Distel,57,If You Had My Love,,0,,
"Philip Glass,Thibault Cauvin,Adélaïde Ferrière",Glass Philip,100,Cities II,Koyaanisqatsi,36,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Koyaanisqatsi
Trans-Siberian Orchestra,Trans-Siberian Orchestra,100,The Christmas Attic,Christmas Eve and Other Stories,60,Christmas Eve and Other Stories,/mnt/m/musiques/__Autres/Trans-Siberian Orchestra/Christmas Eve and Other Stories
Yom,Yom,100,Songs for the Old Man,Le Silence De L'exode,38,Celebration - Green Apocalypse - Le Silence De L'exode - New King Of Klezmer Clarinet - Prière - With Love - You Will Never Die!,/mnt/m/musiques/__Autres/Yom/Le Silence De L'exode
Lambert,Lambert,100,Grauer Beton (Lambert Rework),True,50,All This Time - Alles in bester Ordnung - Inez & Doug & Kira - Lost Tapes - Open - Stay In The Dark - True - We Share Phenomena,/mnt/m/musiques/__Autres/Lambert/True
"Roger Eno,Brian Eno",Roger Molls,70,Mixing Colours,,0,,
De Wolfe Music,London Music Works,62,Vocal Patterns,,0,,
Fairport Convention,Kings of Convenience,56,Unhalfbricking,,0,,
Anouar Brahem,A. R. Rahman,61,Le pas du chat noir,,0,,
St. Vincent,Vincent Liben,70,"Jesus Saves, I Spend",,0,,
"Baptiste Trotignon,Minino Garay",Baptiste Thiry,69,Chimichurri,,0,,
Drab City,Doja Cat,59,Good Songs For Bad People,,0,,
"Chilly Gonzales,Jarvis Cocker",Chilly Gonzales,100,Room 29,Solo Piano II,30,French Kiss - Ivory Tower - Solo Piano II - Solo Piano III,/mnt/m/musiques/__Autres/Chilly Gonzales/Solo Piano II
Lund Quartet,Kronos Quartet,69,Lund Quartet,,0,,
Kaada,Ada,75,Closing Statements,,0,,
Piers Faccini,Piers Faccini,100,Hope Dreams,The Damned and the Saved,40,Between Dogs and Wolves - Mother Time - My Wilderness - Shapes of the Fall - Tearing Sky - The Damned and the Saved,/mnt/m/musiques/__Autres/Piers Faccini/The Damned and the Saved
Guts,Guts,100,Brand New Revolution - EP,Stop the Violence,38,"Eternal - Eternal_MP3 - Guts & Mambo - Hip Hop After All - Kenke Corner - Open Wide - Philantropiques - Philantropiques HRies - Stop the Violence - Straight from the Decks, Vol. 2 2021 - [Vol.2] Straight From The Decks - [Vol.5] Beach Diggin'",/mnt/m/musiques/__Autres/Guts/Stop the Violence
"Antonio Vivaldi,Philippe Jaroussky,Artaserse",Antonio Barret,62,Vivaldi: Pietà. Sacred Works for Alto,,0,,
"Sedef Sebüktekin,Canozan",Sebastien Tellier,55,Bul Beni,,0,,
Supertramp,Supertramp,100, ...Famous Last Words... ,Free As A Bird,45,Breakfast In America - Crime Of The Century (Deluxe) - Crisis- What Crisis- - Even In The Quietest Moments - Free As A Bird - Slow Motion - The Very Best Of Supertramp 2,/mnt/m/musiques/__Autres/Supertramp/Free As A Bird
The Flabbies,The Feelies,78,Back in Town,,0,,
"Sophia Loren,Tonis Maroudas",Sophia Kennedy,69,I Varka Gyrise Moni (Recordings 1952-1958),,0,,
Moondog,Moondog,100,Oceans,Moondog,31,Moondog - Sax Pax For A Sax,/mnt/m/musiques/__Autres/Moondog/Moondog
"Pyotr Ilyich Tchaikovsky,André Previn,London Symphony Orchestra",Chaos Chaos,51,Tchaikovsky: Swan Lake,,0,,
"Pyotr Ilyich Tchaikovsky,Sir Simon Rattle,Berliner Philharmoniker",Chaos Chaos,51,Tchaikovsky: The Nutcracker,,0,,
"Sergei Prokofiev,André Previn,London Symphony Orchestra",Parov Stelar,57,Prokofiev: Romeo and Juliet,,0,,
Ninze,Canine,73,Urban Cosmonaut Tales,,0,,
"Anoushka Shankar,Alev Lenz",Trafalgar & Ouska,58,Bright Eyes & In This Mouth (feat. Alev Lenz),,0,,
"Rosemary Standley,Dom La Nena,Birds on a Wire",Rosemary Standley,100,Birds On a Wire,A Queen of Hearts,50,A Queen of Hearts,/mnt/m/musiques/__Autres/Rosemary Standley/A Queen of Hearts
Terry Callier,Pierre Cavalli,67,The New Folk Sound Of Terry Callier (Deluxe Edition),,0,,
Tommy Guerrero,Thomas Guerlet,64,Road to Knowhere,,0,,
Hope Sandoval & The Warm Inventions,Hope Sandoval & the Warm Inventions,100,Until the Hunter,Through The Devil Softly,35,Bavarian Fruit Bread - Son of a Lady - Through The Devil Softly,/mnt/m/musiques/__Autres/Hope Sandoval & the Warm Inventions/Through The Devil Softly
Anne Müller,Mule & Man,74,Erased Tapes Collection V,,0,,
Alison Mosshart,Oscar Anton,62,It Ain't Water,,0,,
"Ravi Shankar,Tim Baker,Barry Finclair,Mayuki Fukuhara,Regis Iandiorio,Karen Karlsud,Sergiu Schwartz,Masako Yanagita,Al Brown,Richard Sortomme,Seymour Barab,Beverly Laudrisen,Fred Zlotkin,Joe Carver,Theresa Norris,Jack Kripl,Jon Gibson,Richard Peck,Lenny Pickett,Peter Gordon",David Kushner,64,The Essential,,0,,
Acid Pauli,Acid Pauli,100,Mst,Es War Einmal Indianerland (Original,11,Es War Einmal Indianerland (Original,/mnt/m/musiques/__Autres/Acid Pauli/Es War Einmal Indianerland (Original
Girls in Airports,Giulian Charles,56,Kaikoura,,0,,
"Barış Demirel - Barıştık Mı,Efe Demiral,Tolga Tohumcu,Tibet Akarca",Melanie De Biasio,57,Fail Play,,0,,
"Howe Gelb,M. Ward",Elbow,71,Gathered,,0,,
"Bruce Brubaker,Philip Glass",Brace! Brace!,72,Glass Cage,,0,,
"Sidsel Endresen,Bugge Wesseltoft,Mind over MIDI",Selma Eriksen,64,New Conception of Jazz Box Set,,0,,
"Kronos Quartet,Laurie Anderson",Kronos Quartet,100,Landfall,"You've Stolen My Heart, Songs from R.D. Burman's Bollywood",22,"You've Stolen My Heart, Songs from R.D. Burman's Bollywood","/mnt/m/musiques/__Autres/Kronos Quartet/You've Stolen My Heart, Songs from R.D. Burman's Bollywood"
Hundreds,Andreas,67,Wilderness (Akustik Edition),,0,,
Mehmet Güreli,Michelle Gurevich,60,Yağmur,,0,,
Labelle,Cibelle,71,Orchestre univers,,0,,
Elizabeth Fraser,Sun's Signature & Elizabeth Fraser,67,Moses,,0,,
"Arcangelo Corelli,Jordi Savall,Hespèrion XXI",Cécile Corbel,60,Altre Follie (1500-1750),,0,,
"Frédéric Chopin,Brigitte Engerer",Electrick Children,61,Chopin: Complete Nocturnes,,0,,
Niklas Paschburg,Paul Anka,56,Tuur mang Welten,,0,,
Niklas Paschburg,Paul Anka,56,Oceanic,,0,,
Felix Laband,La Féline,67,Deaf Safari,,0,,
"Michel Camilo,Tomatito",Michael Cera,72,Spain Forever,,0,,
Yuksek,YSE,67,En thérapie (Bande originale de la série),,0,,
SYML,Syml,100,Where's My Love,SYML,11,SYML,/mnt/m/musiques/__Autres/Syml/SYML
"Modeselektor,Thom Yorke",Moderator,67,Shipwreck,,0,,
Cameron Avery,Ben Camden,61,"Ripe Dreams, Pipe Dreams",,0,,
Bror Gunnar Jansson,Johann Johannsson,61,"And the Great Unknown, Pt. 2",,0,,
No Land,Jenö Jandó,71,Aramızda,,0,,
Tinariwen,KidNardi,59,Elwan ～エレファント,,0,,
"Peter Gregson,Warren Zielinski,Magdalena Filipczak,Meghan Cassidy,Richard Harwood",Peter Gordon,80,Quartets: Two,,0,,
"Jeanne Moreau,Yves Duteil",Jeanne Moreau,100,Entre elles et moi,Le Tourbillon,39,12 Chansons - Album Collection [Disc 1] - Album Collection [Disc 2] - Jacques Prevert - Artistes Divers - Le Tourbillon - Les Chansons De Clarisse,/mnt/m/musiques/__Autres/Jeanne Moreau/Le Tourbillon
"Nylonwings,Tommy Berre",Nylonwings,100,Gabriel och Fabian,Northern Sunrise,29,Northern Sunrise,/mnt/m/musiques/__Autres/Nylonwings/Northern Sunrise
Daniel Norgren,Daniel Hope,72,Wooh Dang,,0,,
Peyk,Napkey,60,Lay Lay Lom,,0,,
Pierre Bachelet,Pierre Bachelet,100,Coup de tête (Bande originale du film),Un Crime Au Paradis,26,Un Crime Au Paradis,/mnt/m/musiques/__B.O/Un Crime Au Paradis - Pierre Bachelet
"Thom Yorke,Colin Greenwood,Jonny Greenwood,Edward O'Brien,Philip Selway,Katia Labèque,David Chalmin","Théodore, Paul & Gabriel",67,Minimalist Dream House,,0,,
Kraftwerk,Kraftwerk,100,3-D Der Katalog (German Version),Trans-Europe Express,34,Autobahn - Die Mensch·Maschine - Minimum-Maximum - Ralf & Florian - Trans-Europe Express,/mnt/m/musiques/__Autres/Kraftwerk/Trans-Europe Express
Igorrr,Siggerr,62,Savage Sinusoid,,0,,
"Edvard Grieg,Eugene Ormandy",Adrie,59,Les 50 Trésors de la Musique Classique,,0,,
TSU!,Sun,67,TSU! - Yesterlove,,0,,
"Bryce Dessner,Ensemble Resonanz,Moses Sumney",René Aubry,61,Bryce Dessner: Tenebre,,0,,
"James McAlister,Sufjan Stevens,Nico Muhly,Bryce Dessner",James Spiteri,71,Planetarium,,0,,
"Bryce Dessner,Kronos Quartet",René Aubry,61,Aheym,,0,,
"Bryce Dessner,Ensemble Resonanz",René Aubry,61,Bryce Dessner: Tenebre,,0,,
Tehran Vocal Ensemble,Frank Popp Ensemble,70,"Vocapella, Vol. 2",,0,,
R Vincenzo,Arne Vinzon,67,EP,,0,,
Ozsut,Joshu,60,Gnossienne,,0,,
"Howard Shore,Ludwig Wicki",Howard Shore,100,Pieces Of A Woman (Music From The Netflix Film),The Lord Of The Rings - The Two Towers,42,A Dangerous Method - Big (1988) - Esther Kahn - Spotlight - The Hobbit - An Unexpected Journey - The Hobbit - The Desolation Of Smaug - The Lord Of The Rings - The Fellowship Of The Ring - The Lord Of The Rings - The Return Of The King - The Lord Of The Rings - The Two Towers - The Lord of the Rings Trilogy,/mnt/m/musiques/__B.O/The Lord Of The Rings - The Two Towers - Howard Shore
"Howard Shore,Wolfgang Köhler,Bene Aperdannier",Howard Shore,100,Pieces Of A Woman (Music From The Netflix Film),The Lord Of The Rings - The Two Towers,42,A Dangerous Method - Big (1988) - Esther Kahn - Spotlight - The Hobbit - An Unexpected Journey - The Hobbit - The Desolation Of Smaug - The Lord Of The Rings - The Fellowship Of The Ring - The Lord Of The Rings - The Return Of The King - The Lord Of The Rings - The Two Towers - The Lord of the Rings Trilogy,/mnt/m/musiques/__B.O/The Lord Of The Rings - The Two Towers - Howard Shore
Abdullah Yazbahar,DakhaBrakha,57,In the Grocery Store,,0,,
Tülay German,St Germain,73,Burçak Tarlası,,0,,
Hani Niroo,Hania Rani,70,Bazkhani بازخوانی,,0,,
"Denez Prigent,Yann Tiersen",Orient Occident,64,Mil hent - Mille chemins,,0,,
Chelsea Wolfe,Wolf Larsen,67,Unknown Rooms: A Collection of Acoustic Songs,,0,,
"Rone,Les Siècles,François-Xavier Roth,Vanessa Wagner",Rone,100,Motion,Le Mohican (Original Motion Picture Soundtrack),50,"Apache - Creatures - D'Argent & De Sang (Original Series Soundtrack) - Le Mohican (Original Motion Picture Soundtrack) - Les Olympiades (Original Motion Picture Soundtrack) - Mirapolis - Paris, 13th District [Original Motion Picture Soundtrack] - Rone & Friends - Room With A View - Tohu Bohu",/mnt/m/musiques/__Autres/Rone/Le Mohican (Original Motion Picture Soundtrack)
Tindersticks,Tindersticks,100,See My Girls,The Hungry Saw,46,Can Our Love - Curtains - Distractions - Don't Even Go There [EP] - Falling Down The Mountain - No Treasure But Hope - The Hungry Saw - The Something Rain - The Waiting Room - Tindersticks - Tindersticks [Disc 2] - Waiting For The Moon,/mnt/m/musiques/__Autres/Tindersticks/The Hungry Saw
Henry Mancini,Hen Yanni,73,Mr. Lucky + Mr. Lucky Goes Latin,,0,,
Luciano Tortorelli,Emiliana Torrini,59,Latin Latitudes,,0,,
King Hannah,King Hannah,100,Crème Brûlée,Big Swimmer,35,"Big Swimmer - I'm Not Sorry, I Was Just Being Me - State Trooper",/mnt/m/musiques/__Autres/King Hannah/Big Swimmer
The Black Heart Procession,The Black Crowes,67,Amore del Tropico,,0,,
Ulrich Tukur & Die Rhythmus Boys,Ukulele Club De Paris,47,Morphium,,0,,
